TID,AR
TID_EVENT_REWARDS_TRUCKS_NOTIFICATION,بدأ للتو حدث شاحنة محدود الوقت بجوائز خاصة!
TID_EVENT_PRODUCTION_BONANZA_TITLE,صفقات مباني الإنتاج!
TID_EVENT_PRODUCTION_BONANZA_TEXT,رائع، يبدو أن هناك شيئًا مذهلاً في كل آلات الإنتاج! ستستغرق جميع الآلات وقتًا أقل بنسبة 20% لإنتاج المجموعة الكاملة للمنتجات أثناء هذا الحدث. فلتنطلق إلى الإنتاج قبل انتهاء هذا الحدث المثير!
TID_EVENT_PRODUCTION_BONANZA_NOTIFICATION,لقد بدأ للتو حدث مباني إنتاج محدود الوقت! تم تعزيز جميع المباني، تابعها!
TID_EVENT_FASTER_PRODUCTION_TITLE,إنتاج أسرع!
TID_EVENT_FASTER_PRODUCTION_TEXT,تعمل مباني الإنتاج الخاصة بك بشكل سلس! ستنتج ثلاث مبانٍ عشوائية على نحو أسرع خلال هذا الحدث. تحقق من لافتة الحدث لتتعرف على المباني وابدأ في إنتاج البضائع!
TID_EVENT_FASTER_PRODUCTION_NOTIFICATION,لقد بدأ للتو حدث إنتاج محدود الوقت، تحقق من المباني المعززة لك!
TID_EVENT_FASTER_CROP_BONANZA_TITLE,تسريع صفقات المحصول!
TID_EVENT_FASTER_CROP_BONANZA_TEXT,رائع، الجو ممتاز للزراعة! ستنمو جميع المحاصيل بسرعة أكبر بنسبة 20% أثناء هذا الحدث. فلنبدأ في الزراعة!
TID_EVENT_FASTER_CROP_BONANZA_NOTIFICATION,لقد بدأ للتو حدث حصاد محدود الوقت! جميع المحاصيل تنمو أسرع، تفقدها!
TID_EVENT_FASTER_CROPS_TITLE,محاصيل أسرع!
TID_EVENT_FASTER_CROPS_TEXT,رائع، الجو ممتاز للزراعة! ستنمو ثلاث محاصيل عشوائية بسرعة أكبر بنسبة 50% أثناء هذا الحدث. تحقق من لافتة الحدث لتتعرف على المحاصيل، ابدأ في الزراعة!
TID_EVENT_FASTER_CROPS_NOTIFICATION,لقد بدأ للتو حدث حصاد محدود الوقت، ألق نظرة على المحاصيل التي تنمو بشكل أسرع بالنسبة لك!
TID_EVENT_MORE_CROP_BONANZA_TITLE,صفقات المحاصيل!
TID_EVENT_MORE_CROP_BONANZA_TEXT,رائع، الجو عظيم للزراعة! ستنتج جميع المحاصيل 3 محاصيل بدلاً من المحصولين الاعتيادين خلال هذا الحدث. فلتبدأ في الزراعة!
TID_EVENT_MORE_CROP_BONANZA_NOTIFICATION,لقد بدأ للتو حدث حصاد محدود الوقت! جميع المحاصيل معززة، تفقدها!
TID_EVENT_MORE_CROPS_TITLE,محاصيل أكثر!
TID_EVENT_MORE_CROPS_TEXT,رائع، الجو ممتاز للزراعة! ستنتج ثلاثة محاصيل عشوائية 3 محاصيل بدلاً من المحصولين الاعتيادين خلال هذا الحدث. تحقق من لافتة الحدث لتتعرف على المحاصيل، ابدأ في الزراعة!
TID_EVENT_MORE_CROPS_NOTIFICATION,لقد بدأ للتو حدث حصاد محدود الوقت، تحقق من المحاصيل المعززة لك!
TID_EVENT_LAND_EXPANSION_TOWNIE_TITLE,زوار البلدة الكرام!
TID_EVENT_LAND_EXPANSION_TOWNIE_TEXT,تزدهر السياحة في بلدتك! خلال هذا الحدث، سيكافئك زوار البلدة الذين يزورون مبنيين أو 3 مباني بعناصر توسعة للأرض في نهاية إقامتهم.\n\nينطبق هذا على الزوار الذين يصلون بعد بداية هذا الحدث فقط؛ تحقق إذا ما كان اسمهم مكتوبًا باللون الأرجواني. ابدأ الآن إنتاج بعض البضائع واجعل زوار بلدتك سعداء!
TID_EVENT_LAND_EXPANSION_TOWNIE_NOTIFICATION,بدأ للتو حدث مكافآت البلدة محدود الوقت!
TID_EVENT_VOUCHER_TOWNIE_TITLE,زوار البلدة الكرام!
TID_EVENT_VOUCHER_TOWNIE_TEXT,تزدهر السياحة في بلدتك! خلال هذا الحدث، سيكافئك زوار البلدة الذين يزورون مبنيين أو 3 مباني بقسام عشوائية في نهاية إقامتهم.\n\nينطبق هذا على الزوار الذين يصلون بعد بداية هذا الحدث فقط؛ تحقق إذا ما كان اسمهم مكتوبًا باللون الأرجواني. ابدأ الآن إنتاج بعض البضائع واجعل زوار بلدتك سعداء!
TID_EVENT_VOUCHER_TOWNIE_NOTIFICATION,بدأ للتو حدث مكافآت البلدة محدود الوقت!
TID_EVENT_BARN_SILO_TOWNIE_TITLE,زوار البلدة الكرام!
TID_EVENT_BARN_SILO_TOWNIE_TEXT,تزدهر السياحة في مدينتك! خلال هذا الحدث، سيكافئك زوار البلدة الذين يزورون مبنيين أو 3 مباني بعناصر حظيرة أو صومعة في نهاية إقامتهم.\n\nينطبق هذا على الزوار الذين يصلون بعد بداية هذا الحدث فقط؛ تحقق إذا ما كان اسمهم مكتوبًا باللون الأرجواني. ابدأ الآن إنتاج بعض البضائع واجعل زوار بلدتك سعداء!
TID_EVENT_BARN_SILO_TOWNIE_NOTIFICATION,بدأ للتو حدث البلدة محدود الوقت!
TID_EVENT_NEW_YEAR2018_TITLE,حدث العام الجديد!
TID_EVENT_NEW_YEAR2018_TEXT,رائع، لقد شارف 2018 على الدخول! والجميع يجهز احتفالات العام الجديد، طلبيات الشحنة متدفقة. فلتبدأ العمل! إن كنت سعيد الحظ، قد ترى ألعابًا نارية في منطقة الصيد.\n\nاملأ أكبر عدد من طلبيات الشحنة قبل انتهاء الوقت! حقق أهدافك الشخصية للحصول على جوائز كبيرة. تضيف نتائجك أيضًا إلى هدف المجتمع العالمي. حقق الهدف العالمي مع المزارعين من حول العالم وستتم مكافئتك.
TID_EVENT_NEW_YEAR2018_NOTIFICATION,انطلق حدث العام الجديد! فز بجوائز جديدة الآن!
TID_EVENT_CHRISTMAS2017_TITLE,موسم عطلات المساعدة!
TID_EVENT_CHRISTMAS2017_TEXT,إنه الوقت المنتظر من العام ثانية: اقترب موسم العطلات الرائع. عزز من روح العطلات بمساعدة زملائك المزارعين!\n\nقم بإنماء أكبر عدد ممكن من الأشجار والشجيرات، واملأ أكبر عدد ممكن من صناديق قوارب النهر للمزارعين الآخرين قبل انتهاء الوقت! حقق أهدافك الشخصية للحصول على جوائز كبيرة. تضيف نتائجك أيضًا إلى هدف المجتمع العالمي. حقق الهدف العالمي مع المزارعين من حول العالم وستتم مكافأتك.
TID_EVENT_CHRISTMAS2017_NOTIFICATION,تابع حدث موسم العطلات بجوائزه الكبيرة!
TID_HALLOWEEN_OFFER1,عرض الهالوين 1
TID_HALLOWEEN_OFFER2,عرض الهالوين 2
TID_HALLOWEEN_OFFER3,عرض الهالوين 3
TID_WELCOME_BACK_OFFER,عرض العودة
TID_FALL_OFFER1,عرض الخريف 1
TID_FALL_OFFER2,عرض الخريف 2
TID_FALL_OFFER3,عرض الخريف 3
TID_HOLIDAY_OFFER1,عرض العطلات 1
TID_HOLIDAY_OFFER2,عرض العطلات 2
TID_HOLIDAY_OFFER3,عرض العطلات 3
TID_EASTER_OFFER1,عرض الربيع 1
TID_EASTER_OFFER2,عرض الربيع 2
TID_EASTER_OFFER3,عرض الربيع 3
TID_SUMMER_OFFER1,عرض فصل الصيف 1
TID_SUMMER_OFFER2,عرض فصل الصيف 2
TID_SUMMER_OFFER3,عرض فصل الصيف 3
TID_TOWN_HALL_TAB_LEAVING,المغادرة
TID_SANCTUARY_BOOK_LOCKED_FIRSTBABY_DESCRIPTION,يفتح بعد اكتمال كلا البالغين من الفصيلة نفسها.
TID_SANCTUARY_BOOK_LOCKED_SECONDBABY_DESCRIPTION,يفتح بعد اكتمال أول طفل من الفصيلة نفسها.
TID_DECO_CATTREE,عمود الخربشة
TID_DERBY_RACETRACK_TROPHY_UNREACHABLE_TOOLTIP,يجب توفر المزيد من لاعبي الديربي للوصول إلى هذه الحدوة!
TID_CUSTOMIZE_TITLE,خصّص مزرعتك
TID_CUSTOMIZE_DESCRIPTION,يمكنني تخصيص الكثير من الأشياء! هذا هو مخزوني الحالي وأسعار خدماتي.
TID_CUSTOMIZE_TIMEPRETEXT,تغادر البنّاءة خلال:
TID_CUSTOMIZE_AREYOUSURE,هل أنت متأكد؟
TID_CUSTOMIZE_CONFIRMLINE1,ستقوم ماجي بتركيب الأجزاء الموضحة أدناه:
TID_CUSTOMIZE_CONFIRMLINE2,لن تستطيع التراجع عن هذا التغيير.
TID_CUSTOMIZE_SOLDOUTTITLE,تم التركيب
TID_CUSTOMIZE_SOLDOUTTEXT,استمتع بالمظهر الجديد!
TID_SUPERCELL_ID_LOGIN_BUTTON,تسجيل الدخول بمعرّف Supercell ID
TID_SUPERCELL_ID_NEW_GAME_BUTTON,اللعب دون معرّف Supercell ID
TID_CUSTOMIZE_BTNREFRESH,التبديل
TID_CUSTOMIZE_BTNCATALOG,الكتالوج
TID_CUSTOMIZE_BTNBUILD,البناء
TID_CUSTOMIZE_BTNCANCEL,إلغاء
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_TITLE,هل تريد تحميل المزرعة؟
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_TEXT,تم العثور على مزرعتك <NAME> من المستوى <LEVEL>! قم بتحميلها من خلال تسجيل الدخول باستخدام Supercell ID.
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_NO,إلغاء
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_YES,موافق
TID_RENOVATOR_INFO_TITLE_1,تعرف على البنّاءة ماجي!
TID_RENOVATOR_INFO_TITLE_2,الاستعانة بخدماتها
TID_RENOVATOR_INFO_TITLE_3,الكتالوجات!
TID_RENOVATOR_INFO_TITLE_4,الكتالوجات!
TID_RENOVATOR_INFO_TITLE_5,صفحة 5
TID_RENOVATOR_INFO_TITLE_6,صفحة 6
TID_RENOVATOR_INFO_TITLE_7,صفحة 7
TID_RENOVATOR_INFO_TEXT_1,يمكن لماجي تخصيص شاحنتك، ومنزلك الريفي، ومتجرك الجانبي.
TID_RENOVATOR_INFO_TEXT_2,تجلب لك البنّاءة خيارات جديدة كل أسبوع لتتفحصها. كما يمكنك دفع الماسات لعرض خيارات إضافية.
TID_RENOVATOR_INFO_TEXT_3,الأسعار المعروضة هي أجرة خدماتها. يجب أن تدفع هذه الأسعار حتى لو كانت ستقوم بتركيب جزء ركبته من قبل؛ حيث أنك تستعين بخدماتها!
TID_RENOVATOR_INFO_TEXT_4,تذكر: لا توجد طريقة للتراجع عن التركيب. ولتغييره، يجب أن تحدد قطعة أخرى وأن تدفع أجرة ماجي.
TID_RENOVATOR_INFO_TEXT_5,تمنحك ماجي كتالوجين: كتاب الطرازات وكتاب التشكيلات. وهما كتابان مفيدان جدًا.
TID_RENOVATOR_INFO_TEXT_6,يحتوي كتاب الطرازات على مقترحات لأنماط التخصيص التي يمكنك تجربتها. ارجع للكتاب عندما تكمل أحد الطرازات لتحصل على مكافآت عظيمة! هل يمكنك إكمال أي شيء؟
TID_RENOVATOR_INFO_TEXT_7,يعرض كتاب التشكيلات كل العناصر التي قمت بتركيبها حاليًا وفي السابق. عندما تقوم ماجي بزيارتك، يمكنك لمس العناصر لتركيبها مجددًا!
TID_SETTINGS_MUSIC_NEW,الموسيقى
TID_SETTINGS_SOUND_EFFECTS_NEW,الأصوات
TID_SETTINGS_SCID_TITLE,Supercell ID
TID_SETTINGS_FACEBOOK_TITLE,Facebook
TID_SETTINGS_FACEBOOK_FRIENDS_TITLE,أصدقاء Facebook
TID_SETTINGS_GOOGLE_PLAY_TITLE,Google Play
TID_SETTINGS_SCID_CONNECTED,متصل
TID_SETTINGS_SCID_DISCONNECTED,غير متصل
TID_SETTINGS_SOCIAL_MEDIA_CONNECTED_NEW,متصل
TID_SETTINGS_SOCIAL_MEDIA_DISCONNECTED_NEW,غير متصل
TID_SETTINGS_SOCIAL_MEDIA_CONNECTING_NEW,جارٍ الاتصال
TID_PRODUCT_FLOWERPENDANT,دلاية الوردة
TID_PRODUCT_FLORALCANDLE,شمعة زهرية
TID_PRODUCT_SPICYSPAGHETTI,باستا حارة
TID_PRODUCT_ONIONMELT,شطيرة كريمة البصل
TID_PRODUCT_CARAMELLATTE,لاتيه الكراميل
TID_PRODUCT_CANDYBOUQUET,باقة حلوى
TID_PRODUCT_COCOASMOOTHIE,كاكاو بالموز
TID_PRODUCT_BIGSUSHIROLL,لفائف سوشي كبيرة
TID_ADVANCE_SETTINGS_OFFERS_HEADER,العروض المخصصة
TID_ADVANCE_SETTINGS_OFFERS_TEXT,تمكين الإشعارات وعروض المتجر المخصصة
TID_ORIGINAL_WHITE,أبيض نقي
TID_ORIGINAL_GRUE,رمادي مزرق
TID_ORIGINAL_TEAL,أخضر مزرق
TID_ORIGINAL_DARK,أرجواني غامق
TID_ORIGINAL_YELEEN,زيتي
TID_ORIGINAL_BORING,بني
TID_BARN_RED,حظيرة حمراء
TID_COUNTRY_GREY,رمادي ريفي
TID_COUNTRY_PINK,وردي ريفي
TID_COUNTRY_RED,أحمر ريفي
TID_COUNTRY_YELLOW,أصفر ريفي
TID_COUNTRY_WHITE,أبيض ريفي
TID_HALFNHALF_BLUE,أزرق بدرجتين
TID_HALFNHALF_OLD,أخضر بدرجتين
TID_HALFNHALF_RETIREMENT,أرجواني بدرجتين
TID_CUTE_BLUE,أزرق هادئ
TID_CUTE_PASTEL_PINK,وردي هادئ
TID_CUTE_GREEN,أخضر هادئ
TID_CUTE_GREY,رمادي هادئ
TID_CUTE_PURPLE,أرجواني هادئ
TID_CUTE_YELLOW,أصفر هادئ
TID_CUTE_RED,أحمر هادئ
TID_GASTHOUSE,مضيّفة
TID_PLANKS_YELLOW,ألواح صفراء
TID_PLANKS2,ألواح خضراء مزرقة
TID_PLANKS3,ألواح وردي طوبي
TID_PLANKS4,ألواح خضراء
TID_PLANKS5,ألواح حمراء
TID_RUSTIC,ريفي
TID_CABIN02_WHITE,مقصورة بيضاء
TID_CABIN02_GREEN,مقصورة خضراء
TID_PORCH_ORIGINAL,نقي
TID_PORCH_COUNTRY,ريفي
TID_PORCH_BASIC_SHEEP,سور أبيض
TID_PORCH_BASIC_COW,حظيرة
TID_PORCH_CUTE,هادئ
TID_PORCH_GUESTHOUSE,مضيّفة
TID_PORCH_ORIGINAL_EXTENDED,شرفة كاملة
TID_PORCH_POSH,فاخر
TID_PORCH_RUSTIC,ريفي
TID_PORCH_BRIDGE_DITCH1,موصول بجسر صغير
TID_PORCH_STABLE1,إسطبل
TID_PORCH_BRIDGE_DITCH2,جسر خندق 2
TID_PORTCH_DOC,عوامة
TID_PORCH_STABLE2,إسطبل 2
TID_ROOF_ORIGINAL_BORING_BLACK,أسود نقي
TID_ROOF_ORIGINAL_KINDA_RED,أحمر
TID_ROOF_ORIGINAL_BLUE,أزرق
TID_ROOF_ORIGINAL_SPOOKY_PURPLE,أرجواني
TID_ROOF_OPENGABLE_KINDA_RED,جملون مفتوح أحمر
TID_ROOF_OPENGABLE_BLUE,جملون مفتوح أزرق
TID_ROOF_OPENGABLE_GREEN,جملون مفتوح أخضر
TID_ROOF_OPENGABLE_BLACK,جملون مفتوح أسود
TID_ROOF_OPENGABLE_GOLD,جملون مفتوح ذهبي
TID_ROOF_OPENGABLE_SPOOKY_PURPLE,جملون مفتوح أرجواني
TID_ROOF_OPENGABLE_BROWN,جملون مفتوح بني
TID_ROOF_OPENGABLE_PINK,جملون مفتوح وردي
TID_ROOF_ATTIC_WINDOWS_RED,سندرة حمراء
TID_ROOF_ATTIC_WINDOWS_BLUE,سندرة زرقاء
TID_ROOF_ATTIC_WINDOWS_GREEN,سندرة خضراء
TID_ROOF_ATTIC_WINDOWS_BLACK,سندرة سوداء
TID_ROOF_ATTIC_WINDOWS_ORANGE,سندرة برتقالية
TID_ROOF_ATTIC_WINDOWS_PURPLE,سندرة أرجوانية
TID_ROOF_SPIKES_BLACK_AND_GOLD,أسود مدبب
TID_ROOF_SPIKES_GREY_AND_CHROME,رمادي مدبب
TID_ROOF_SPIKES_BLUE_AND_BLACK,أزرق مدبب
TID_ROOF_SPIKES_KINDA_RED,أحمر مدبب
TID_ROOF_WOODEN_PLANKS_KINDA_RED,ألواح حمراء
TID_ROOF_WOODEN_PLANKS_GREEN,ألواح خضراء
TID_ROOF_WOODEN_PLANKS_SPOOKY_PURPLE,ألواح أرجوانية
TID_ROOF_WOODEN_PLANKS_BLACK,ألواح سوداء
TID_ROOF_WOODEN_PLANKS_BLUE,ألواح زرقاء
TID_ROOF_WOODEN_PLANKS_BROWN,ألواح بنية
TID_ROOF_WOODEN_PLANKS_LIGHT_BROWN,ألواح بنية فاتحة
TID_ROOF_METAL_BLACK,أسود معدني
TID_ROOF_METAL_COPPER_NEW,نحاسي
TID_ROOF_METAL_COPPER_OLD,نحاسي قديم
TID_ROOF_METAL_BLUE,أزرق معدني
TID_ROOF_METAL_CHROME,كروم
TID_ROOF_STRAW_YELLOW,قش أصفر
TID_ROOF_STRAW_DARKO,قش غامق
TID_ROOF_STRAW_GREEN,قش أخضر
TID_ROOF_FLAT,مسطح
TID_BODY_NUDE,أحمر نقي
TID_BODY_TAXI_YELLOW,أصفر ساطع
TID_BODY_ICECREAM,بني وكريمي
TID_BODY_GREEN,أخضر ساطع
TID_BODY_BAD_ASS_BLUE,أزرق كهربي
TID_BODY_BARBIE,وردي ساطع
TID_BODY_BLACKHOLE,أسود
TID_BODY_OLD_GREEN,أخضر باهت
TID_BODY_MAN_PURPLE,أرجواني غامق
TID_BODY_HOTROD_RED,أحمر بدرجتين
TID_BODY_HOTROD_TEAL,أخضر مزرق بدرجتين
TID_BODY_HOTROD_JOKER,أخضر بدرجتين
TID_BODY_HOTROD_YELLOW,أصفر بدرجتين
TID_BODY_HOTROD_VINTAGE_BLACK,أسود بدرجتين
TID_BODY_HOTROD_VINTAGE_WHITE,أبيض بدرجتين
TID_BODY_FADE_SUNRISE,تدريج طلوع الشمس
TID_BODY_FADE_DAY,أزرق نهاري
TID_BODY_FADE_SUNSET,تدريج غروب الشمس
TID_BODY_FADE_NIGHT,تدريج الليل
TID_BODY_FASTER_STRIPES_TEAL,أخضر مزرق مخطط
TID_BODY_FASTER_STRIPES_YELLOW,أصفر مخطط
TID_BODY_FASTER_STRIPES_SALMON,بصلي مخطط
TID_BODY_FASTER_STRIPES_ORANGE,برتقالي مخطط
TID_BODY_FLAMEON_PURPLE,أرجواني بألسنة اللهب
TID_BODY_FLAMEON_ORANGE,برتقالي بألسنة اللهب
TID_BODY_FLAMEON_GREEN,أخضر بألسنة اللهب
TID_TRAILER_ORIGINAL_WHITE,أبيض بإطار خشبي
TID_TRAILER_ORIGINAL_GREEN,أخضر نقي
TID_TRAILER_ORIGINAL_BLUE,أزرق بإطار خشبي
TID_TRAILER_ORIGINAL_SEA_FOAM,أخضر فاتح بإطار خشبي
TID_TRAILER_ORIGINAL_BROWN,بني بإطار خشبي
TID_TRAILER_ORIGINAL_PURPLE,أرجواني بإطار خشبي
TID_TRAILER_HOTROD_RED,مقطورة مفتوحة حمراء
TID_TRAILER_HOTROD_YELLOW,مقطورة مفتوحة صفراء
TID_TRAILER_HOTROD_GREEN,مقطورة مفتوحة خضراء
TID_TRAILER_HOTROD_BLACK,مقطورة مفتوحة سوداء
TID_TRAILER_HOTROD_MAN_PURPLE,مقطورة مفتوحة أرجوانية
TID_TRAILER_HOTROD_RAINBOW,مقطورة مفتوحة بألوان الطيف
TID_TRAILER_HOTROD_ROOF,مقطورة مغلقة زرقاء
TID_TRAILER_HOTROD_LOBSTER,مقطورة مغلقة صفراء
TID_TRAILER_HOTROD_JOKER,مقطورة مغلقة خضراء
TID_TRAILER_HOTROD_VINTAGE,مقطورة مغلقة بيضاء
TID_TRAILER_WOODEN_FLATBED1,شاحنة مسطحة فاتحة
TID_TRAILER_WOODEN_FLATBED2,شاحنة مسطحة غامقة
TID_WHEELS_REDAND_GOLD_BLING_GREY,رمادي فاخر
TID_WHEELS_REDAND_GOLD_BLING_RUBBER,أصفر فاخر
TID_WHEELS_ORIGINAL_CHROME,كروم نقي
TID_WHEELS_ORIGINAL_REF,أحمر بسيط
TID_WHEELS_ORIGINAL_GOLD,ذهبي بسيط
TID_WHEELS_ORIGINAL_BROWN,أخضر بسيط
TID_WHEELS_ORIGINAL_DARK,أزرق بسيط
TID_WHEELS_HOTROD_RED,أحمر بدرجتين
TID_WHEELS_HOTROD_BLACK,أسود بدرجتين
TID_WHEELS_HOTROD_WHITE,أبيض بدرجتين
TID_WHEELS_HOTROD_COPPER,نحاسي بدرجتين
TID_WHEELS_HOTROD_TEAL,أخضر مزرق بدرجتين
TID_WHEELS_SPOKES_CHROME,محاور عجلات كروم
TID_WHEELS_SPOKES_GOLD,محاور عجلات ذهبية
TID_WHEELS_SPOKES_JOKER,محاور عجلات أرجوانية
TID_WHEELS_SPOKES_TEAL,محاور عجلات خضراء مزرقة
TID_WHEELS_SPOKES_BARBIE,محاور عجلات وردية
TID_WHEELS_SPOKES_WOODEN,محاور عجلات بنية
TID_WHEELS_HOT_WHEELS,محاور عجلات عريضة
TID_DECO_SHEEPTOY,هزاز الخروف
TID_DECO_PIGTOY,أرجوحة الخنزير
TID_DECO_CARTOY,هزاز الجرار
TID_DECO_AGILITYTIRE,حلقة القفز
TID_DECO_SEASONTREE,شجرة موسمية
TID_DECO_ROCKINGUNICORN,وحيد القرن الهزاز
TID_DECO_ROUNDABOUT,دوارة
TID_DECO_TRELLISFENCE,سور تعريشة
TID_DECO_LOGPATH,ممشى الجذوع
TID_DECO_WHEELFENCE,سور العجلات
TID_DECO_FLOWERPATH,ممشى الورد الأزرق
TID_RENOVATION_CATALOG_TITLE,حدد الكتالوج
TID_RENOVATION_CATALOG_STYLE_GUIDE,كتاب الطرازات
TID_RENOVATION_CATALOG_STYLE_GUIDE_INFO,أكمل الطرازات واحصل على جوائز!
TID_RENOVATION_CATALOG_STICKER_BOOK,كتاب التشكيلات
TID_RENOVATION_CATALOG_STICKER_BOOK_INFO,ابن أي شيء قمت بتركيبه في السابق!
TID_STYLE_GUIDE_PAGE_COLLECT_BUTTON,جمع
TID_POPUP_PROBABILITY_TITLE,الاحتمالات
TID_DECO_DOGBED,سرير كلاب
TID_DECO_DOGPOOL,مسبح كلاب
TID_DECO_RABBITPOLE,حاجز الجزر
TID_DECO_ELEPHANTSLIDE,زلاقة الفيل
TID_BODY_FLAMEON_BLACK,أسود بألسنة اللهب
TID_ROOF_ORIGINAL_VIOLET,بنفسجي
TID_ROOF_ATTIC_WINDOWS_BROWN,سندرة بنية
TID_ROOF_ATTIC_WINDOWS_PINK,سندرة وردية
TID_ROOF_ATTIC_WINDOWS_BABY_BLUE,سندرة زرقاء فاتحة
TID_ROOF_SPIKES_WHITE,أبيض مدبب
TID_BODY_FASTER_STRIPES_RACING_GREEN,أخضر مخطط
TID_PORCH_OVERGROWN,حجري
TID_PERCENTAGE,<NUMBER> %
TID_ACCOUNT_DISABLED_TEXT,تعطيل الحساب
TID_ACCOUNT_DELETED_ON_REQUEST_TEXT,تم تعطيل هذا الحساب نظرًا للتقدم بطلب حذف، ولا يمكن استرجاعه.
TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT,تم تعطيل هذا الحساب لعدم النشاط، ولا يمكن استرجاعه.
TID_NATIVE_DIALOG_ACCOUNT_DISABLED_BUTTON,موافق
TID_CUSTOMIZE_SEARCHING,جارٍ البحث...
TID_STYLE_GUIDE_PAGE_COLLECTED,اكتمل!
TID_FLOATER_COLLECT_STYLE_INCOMPLETE,أكمل هذا الطراز قبل الجمع
TID_ACCOUNT_DELETION_WARNING_TITLE,تحذير حذف الحساب
TID_DECO_RAINBOWFLOWERPATH,ممشى الورد
TID_RENOVATOR_COMING_SOON,ستصبح البنّاءة متاحة في المستوى <LEVEL>
TID_RENOVATOR_COMING_SOON_ACHIEVEMENTS,ستصبح البنّاءة متاحة عند تحقيق <POINTS> من الإنجازات
TID_CUSTOMIZE_RENEWSTOCKTEXT,يتجدد المخزون خلال:
TID_CUSTOMIZE_ARRIVEINTEXT,تصل البنّاءة خلال:
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_DIAMONDS_V2,هناك تحديث جديد متاح في متجر App Store! قم بالتحديث الآن، واحصل على <NUMBER> من الماسات.\n\nقد يستغرق التحديث حتى ساعة واحدة للظهور في المتجر.\nإذا لم يعمل زر التحديث، فاذهب إلى App Store > التحديثات واسحب للأسفل لتحديث الشاشة.
TID_RENOVATOR_TUTORIAL1,هل حلمت من قبل بتخصيص مزرعتك بالتفصيل؟ نقدم إليك ماجي!\n\nلقد جلبت إليك بعض الأغراض المجانية، اطلع عليها.
TID_RENOVATOR_TUTORIAL2,تأتي ماجي كل يوم إثنين بمجموعة جديدة من الخيارات الرائعة بأسعار مختلفة. يمكنك أيضًا دفع رسوم بسيطة حتى ترى المزيد من الخيارات.\n\nهل تريد بعض مقترحات التخصيص؟ اطلع على كتالوجاتها!
TID_RENOVATOR_TUTORIAL3,وتذكر: نظرًا لكون الأسعار المذكورة هي أجرة خدمات ماجي، يجب الدفع مقابل أي تغيير حتى لو كان لديك من قبل. لا أحد يعمل مجانًا. أليس كذلك؟\n\nاستمتع بتخصيص مزرعتك!
TID_CUSTOMIZE_STYLEGUIDE_UNLOCKDESC,احصل على القطع الثلاث كلها في نفس الوقت لجمع المكافآت!
TID_CUSTOMIZE_STYLEGUIDE_COMPLETE,مكتمل
TID_RENOVATOR_TUTORIAL1_b,انقر فوق ورشة العمل وابدأ تخصيص مزرعتك!
TID_CUSTOMIZE_FREE_PART,مجانًا!
TID_CUSTOMIZATION_CATEGORY1,سقف المنزل
TID_CUSTOMIZATION_CATEGORY2,جدران المنزل
TID_CUSTOMIZATION_CATEGORY3,رواق المنزل
TID_CUSTOMIZATION_CATEGORY4,مقصورة الشاحنة
TID_CUSTOMIZATION_CATEGORY5,مقطورة الشاحنة
TID_CUSTOMIZATION_CATEGORY6,عجلات الشاحنة
TID_CUSTOMIZATION_CATEGORY7,مظلة المتجر الجانبي
TID_CUSTOMIZATION_CATEGORY8,صناديق المتجر الجانبي
TID_CUSTOMIZATION_CATEGORY9,قاعدة المتجر الجانبي
TID_DECO_SEASONTREE_DESC,تغييرات حسب المواسم
TID_STYLE_GUIDE_SETNAME_TRUCK1,طراز اليوم المشمس
TID_STYLE_GUIDE_SETNAME_TRUCK2,طراز منتصف الليل
TID_STYLE_GUIDE_SETNAME_TRUCK3,طراز ألوان الطيف
TID_STYLE_GUIDE_SETNAME_TRUCK4,طراز العلكة
TID_STYLE_GUIDE_SETNAME_TRUCK5,طراز اللهب
TID_STYLE_GUIDE_SETNAME_HOUSE1,طراز الزُرقة
TID_STYLE_GUIDE_SETNAME_HOUSE2,طراز المقصورة
TID_STYLE_GUIDE_SETNAME_HOUSE3,طراز الحظيرة
TID_STYLE_GUIDE_SETNAME_HOUSE4,طراز المضيّفة
TID_STYLE_GUIDE_SETNAME_HOUSE5,طراز الفن الجديد
TID_DECO_FLOWERLOGPATH,ممشى جذوع وورد
TID_NOTIFICATIONS_SETTINGS_BUILDERS,إشعارات البنّاءة
TID_NOTIFICATION_BUILDER_ARRIVED,وصلت البنّاءة ماجي! ألق نظرة على مجموعتها الجديدة لتخصيص مزرعتك!
TID_NOTIFICATION_BUILDER_LEAVING,ستغادر البنّاءة ماجي قريبًا! لا يزال بمقدورك تخصيص مزرعتك!
TID_BASE_ORIGINAL,خشبي نقي
TID_BASE_ORIGINAL_GREEN,خشب أخضر
TID_BASE_ORIGINAL_PURPLE,خشب أرجواني
TID_BASE_ORIGINAL_GREENBRIGHT,خشب زيتي
TID_BASE_BUNTING_RED,رايات حمراء
TID_BASE_BUNTING_PINK,رايات وردية
TID_BASE_BUNTING_YELLOWNBLUE,رايات ساطعة
