TID,NL
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_LOBSTER_POOL,Repareer het kreeftenbad voordat je deze booster activeert.
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_DUCK_SALON,Repareer de eendensalon voordat je deze booster activeert.
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_PERSONAL_TRAIN,Repareer je persoonlijke trein voordat je deze booster activeert.
TID_ROADSIDE_SHOP_NEW_SALE_MIN_BUTTON,Min.
TID_ROADSIDE_SHOP_NEW_SALE_MAX_BUTTON,Max.
TID_DECO_ELEPHANTEARS,Olifantsoor
TID_DECO_BLOOMINGCACTUS,Bloeiende cactus
TID_DECO_ICEPLANTORANGE,Oranje ijsbloem
TID_DECO_SAGOPALM,Vredespalm
TID_DECO_PRICKLYPEAR,Vijgcactus
TID_DECO_TERMITES,Kleine termietenheuvel
TID_DECO_CREOSOTE,Creosootstruik
TID_DECO_SAGUARO,Saguarocactus
TID_DECO_DRAGONBLOODTREE,Drakenbloedboom
TID_DECO_ICEPLANTWHITE,Witte ijsbloem
TID_DECO_BARRELCACTUS,Schoonmoedersstoel
TID_DECO_SMALLACACIA,Kleine acaciaboom
TID_EVENT_BOAT_HELP_TITLE,Hulp nodig met rivierboten
TID_EVENT_BOAT_HELP_TEXT,Het is tijd om andere boeren te helpen en om hulp te krijgen op je eigen boerderij. Vul binnen de tijd zoveel mogelijk rivierbootkratten van andere boeren. Dit evenement draait om het vullen van rivierbootkratten van andere boeren en niet de kratten op je eigen boot.\n\nBereik je persoonlijke doelen voor geweldige beloningen. Je resultaten tellen ook mee voor het wereldwijde communitydoel. Bereik samen met boeren uit de hele wereld het wereldwijde doel. Jullie krijgen allemaal een beloning.
TID_EVENT_BOAT_HELP_NOTIFICATION,Er is zojuist een evenement met geweldige prijzen van start gegaan. Ga maar kijken.
TID_EVENT_BOAT_HELP_MASSGIFT_TITLE,Botenhulp-evenement
TID_EVENT_BOOSTER_BOAT_TITLE,Boosterboot-seizoen
TID_EVENT_BOOSTER_BOAT_TEXT,Het rivierbootseizoen is begonnen en het barst van de toeristen. Tijdens dit evenement krijg je voor elke boot die je voltooit een booster. Vergeet niet om je vrienden te bezoeken en ze ook met hun boten te helpen.\n\nLet op: de extra boosterbeloningen worden enkel gegeven voor boten die aankomen op je boerderij nadat dit evenement is begonnen.
TID_EVENT_BOOSTER_BOAT_NOTIFICATION,Een tijdelijk boosterboot-evenement is begonnen.
TID_EVENT_PUZZLE_BOAT_TITLE,Puzzelbootseizoen
TID_EVENT_PUZZLE_BOAT_TEXT,Het rivierbootseizoen is begonnen en het barst van de toeristen. Tijdens dit evenement kun je tot wel vijf puzzelstukken verdienen voor het voltooien van boten. Vergeet niet om je vrienden te bezoeken en ze ook met hun boten te helpen.\n\nLet op: de extra puzzelstukbeloningen worden enkel gegeven voor boten die aankomen op je boerderij nadat dit evenement is begonnen.
TID_EVENT_PUZZLE_BOAT_NOTIFICATION,Een tijdelijk puzzelbootevenement is begonnen.
TID_EVENT_BARN_SILO_TRUCKS_TITLE,Gulle truckbestellingen
TID_EVENT_BARN_SILO_TRUCKS_TEXT,Er is een tekort aan voorraden in de stad. Tijdens dit evenement zullen sommige voltooide bestellingen met de truck je willekeurige uitbreidingsmaterialen voor je schuur en silo opleveren als speciale beloning.\n\nProduceer nu voorraden want de stadsbewoners rekenen op je.
TID_EVENT_BARN_SILO_TRUCKS_NOTIFICATION,Er is een tijdelijk truckevenement met speciale beloningen begonnen.
TID_EVENT_EXPANSION_TRUCKS_TITLE,Gulle truckbestellingen
TID_EVENT_EXPANSION_TRUCKS_TEXT,Er is een tekort aan voorraden in de stad. Tijdens dit evenement zullen sommige voltooide bestellingen met de truck je willekeurige uitbreidingsmaterialen opleveren als speciale beloning.\n\nProduceer nu voorraden want de stadsbewoners rekenen op je.
TID_EVENT_EXPANSION_TRUCKS_NOTIFICATION,Er is een tijdelijk truckevenement met speciale beloningen begonnen.
TID_EVENT_REWARDS_TRUCKS_TITLE,Gulle truckbestellingen
TID_EVENT_REWARDS_TRUCKS_TEXT,"Er is te weinig voorraad in de stad. Sommige bestellingen met de truck die tijdens dit evenement worden voltooid, leveren je speciale beloningen op naast de gewone munten die je krijgt. Produceer nu wat spullen want de stadsmensen rekenen op je."
TID_EVENT_REWARDS_TRUCKS_NOTIFICATION,Er is een tijdelijk truckevenement met speciale beloningen begonnen.
TID_EVENT_PRODUCTION_BONANZA_TITLE,Productiegebouwen-gekte
TID_EVENT_PRODUCTION_BONANZA_TEXT,"Wauw, er is iets k-ei-goeds aan de hand met de productiegebouwen. Tijdens dit evenement produceren alle gebouwen 20% sneller. Begin meteen te produceren voor dit te gekke evenement voorbij is!"
TID_EVENT_PRODUCTION_BONANZA_NOTIFICATION,Er is een tijdelijk productiegebouw-evenement begonnen. Alle gebouwen produceren sneller. Ga snel kijken.
TID_EVENT_FASTER_PRODUCTION_TITLE,Snellere productie
TID_EVENT_FASTER_PRODUCTION_TEXT,Je productiegebouwen zijn goed geolied. Drie willekeurige gebouwen zullen tijdens dit evenement sneller produceren. Bekijk de evenementenposter om te zien welke gebouwen het zijn en begin te produceren.
TID_EVENT_FASTER_PRODUCTION_NOTIFICATION,Een tijdelijk productie-evenement is begonnen. Ontdek welke van je gebouwen een boost krijgen.
TID_EVENT_FASTER_CROP_BONANZA_TITLE,Gewassen-gekte
TID_EVENT_FASTER_CROP_BONANZA_TEXT,Het is goed weer voor de landbouw. Alle gewassen groeien tijdens dit evenement 20% sneller. Begin te zaaien.
TID_EVENT_FASTER_CROP_BONANZA_NOTIFICATION,Een tijdelijk oogstevenement is begonnen. Alle gewassen groeien sneller. Ga maar kijken.
TID_EVENT_FASTER_CROPS_TITLE,Snellere gewassen
TID_EVENT_FASTER_CROPS_TEXT,Het is goed weer voor de landbouw. Drie willekeurige gewassen groeien tijdens dit evenement 50% sneller. Bekijk de evenementenposter om te zien welke gewassen het zijn en begin te zaaien.
TID_EVENT_FASTER_CROPS_NOTIFICATION,Een tijdelijk oogstevenement is begonnen. Ontdek welke van je gewassen sneller groeien.
TID_EVENT_MORE_CROP_BONANZA_TITLE,Gewassenberg
TID_EVENT_MORE_CROP_BONANZA_TEXT,Het is goed weer voor de landbouw. Alle gewassen zullen tijdens dit evenement drie in plaats van twee gewassen opleveren als je ze oogst. Laat het zaaien beginnen.
TID_EVENT_MORE_CROP_BONANZA_NOTIFICATION,Een tijdelijk oogstevenement is begonnen. Alle gewassen krijgen een boost. Ga maar kijken.
TID_EVENT_MORE_CROPS_TITLE,Meer gewassen
TID_EVENT_MORE_CROPS_TEXT,Het is goed weer voor de landbouw. Drie willekeurige gewassen zullen tijdens dit evenement drie in plaats van twee gewassen opleveren als je ze oogst. Bekijk de evenementenposter om te zien welke gewassen het zijn en begin te zaaien.
TID_EVENT_MORE_CROPS_NOTIFICATION,Een tijdelijk oogstevenement is begonnen. Ontdek welke van je gewassen een boost krijgen.
TID_EVENT_LAND_EXPANSION_TOWNIE_TITLE,Gulle stadsbezoekers
TID_EVENT_LAND_EXPANSION_TOWNIE_TEXT,"Het toerisme groeit in je stad! Stadsbezoekers die tijdens dit evenement twee of drie gebouwen bezoeken, zullen je uitbreidingsitems voor je boerderij of stad geven aan het eind van hun verblijf.\n\nDit geldt alleen voor bezoekers die na de start van dit evenement aankomen: controleer of hun naam met paarse letters wordt geschreven. Produceer nu goederen en maak je stadsbezoekers gelukkig."
TID_EVENT_LAND_EXPANSION_TOWNIE_NOTIFICATION,Er is een tijdelijk stadsevenement met beloningen begonnen.
TID_EVENT_VOUCHER_TOWNIE_TITLE,Gulle stadsbezoekers
TID_EVENT_VOUCHER_TOWNIE_TEXT,"Het toerisme groeit in je stad! Stadsbezoekers die tijdens dit evenement twee of drie gebouwen bezoeken, zullen je willekeurige tegoedbonnen geven aan het eind van hun verblijf.\n\nDit geldt alleen voor bezoekers die na de start van dit evenement aankomen: controleer of hun naam met paarse letters wordt geschreven. Produceer nu goederen en maak je stadsbezoekers gelukkig."
TID_EVENT_VOUCHER_TOWNIE_NOTIFICATION,Er is een tijdelijk stadsevenement met beloningen begonnen.
TID_EVENT_BARN_SILO_TOWNIE_TITLE,Gulle stadsbezoekers
TID_EVENT_BARN_SILO_TOWNIE_TEXT,"Het toerisme groeit in je stad! Stadsbezoekers die tijdens dit evenement twee of drie gebouwen bezoeken, zullen je schuur- of silo-items geven aan het eind van hun verblijf.\n\nDit geldt alleen voor bezoekers die na de start van dit evenement aankomen: controleer of hun naam met paarse letters wordt geschreven. Produceer nu goederen en maak je stadsbezoekers gelukkig."
TID_EVENT_BARN_SILO_TOWNIE_NOTIFICATION,Er is een tijdelijk stadsevenement begonnen.
TID_EVENT_NEW_YEAR2018_TITLE,Nieuwjaarsevenement
TID_EVENT_NEW_YEAR2018_TEXT,"2018 staat voor de deur! Iedereen bereidt zich voor op het nieuwe jaar en de bestellingen voor de truck stromen binnen. Laten we eraan beginnen! Als je geluk hebt, kun je zelfs vuurwerk zien in het visgebied.\n\nVoltooi binnen de tijd zoveel mogelijk bestellingen voor de truck. Bereik je persoonlijke doelen voor geweldige beloningen. Je resultaten tellen ook mee voor het wereldwijde communitydoel. Bereik samen met boeren uit de hele wereld het wereldwijde doel. Jullie krijgen allemaal een beloning!"
TID_EVENT_NEW_YEAR2018_NOTIFICATION,Het nieuwjaarsevenement is begonnen. Win nu geweldige beloningen.
TID_EVENT_CHRISTMAS2017_TITLE,Hulp tijdens de feestdagen
TID_EVENT_CHRISTMAS2017_TEXT,Het is weer die tijd van het jaar: de feestdagen komen eraan. Kom in de stemming door andere boeren te helpen.\n\nLaat binnen de tijd zoveel mogelijk bomen en struiken herleven en vul zoveel mogelijk rivierbootkratten van andere boeren. Bereik je persoonlijke doelen voor geweldige beloningen. Je resultaten tellen ook mee voor het wereldwijde communitydoel. Bereik samen met boeren uit de hele wereld het wereldwijde doel. Jullie krijgen allemaal een beloning.
TID_EVENT_CHRISTMAS2017_NOTIFICATION,Bekijk het feestdagenevenement met geweldige beloningen.
TID_HALLOWEEN_OFFER1,Halloweenaanbieding 1
TID_HALLOWEEN_OFFER2,Halloweenaanbieding 2
TID_HALLOWEEN_OFFER3,Halloweenaanbieding 3
TID_WELCOME_BACK_OFFER,Welkom-terug-aanbieding
TID_FALL_OFFER1,Herfstaanbieding 1
TID_FALL_OFFER2,Herfstaanbieding 2
TID_FALL_OFFER3,Herfstaanbieding 3
TID_HOLIDAY_OFFER1,Feestdagenaanbieding 1
TID_HOLIDAY_OFFER2,Feestdagenaanbieding 2
TID_HOLIDAY_OFFER3,Feestdagenaanbieding 3
TID_EASTER_OFFER1,Paasaanbieding 1
TID_EASTER_OFFER2,Paasaanbieding 2
TID_EASTER_OFFER3,Paasaanbieding 3
TID_SUMMER_OFFER1,Zomeraanbieding 1
TID_SUMMER_OFFER2,Zomeraanbieding 2
TID_SUMMER_OFFER3,Zomeraanbieding 3
TID_TOWN_HALL_TAB_LEAVING,Vertrekken
TID_SANCTUARY_BOOK_LOCKED_FIRSTBABY_DESCRIPTION,Wordt ontgrendeld nadat beide ouders van dezelfde soort zijn voltooid.
TID_SANCTUARY_BOOK_LOCKED_SECONDBABY_DESCRIPTION,Wordt ontgrendeld nadat het eerste jong van dezelfde soort is voltooid.
TID_DECO_CATTREE,Krabpaal
TID_DERBY_RACETRACK_TROPHY_UNREACHABLE_TOOLTIP,Er zijn meer derbyspelers nodig om dit hoefijzer te bereiken.
TID_CUSTOMIZE_TITLE,Geef je boerderij een nieuwe look
TID_CUSTOMIZE_DESCRIPTION,Ik kan van alles een nieuw uiterlijk geven. Dit is mijn huidige voorraad met mijn tarieven.
TID_CUSTOMIZE_TIMEPRETEXT,Vertrekt over:
TID_CUSTOMIZE_AREYOUSURE,Weet je het zeker?
TID_CUSTOMIZE_CONFIRMLINE1,Boukje plaatst de hieronder getoonde onderdelen:
TID_CUSTOMIZE_CONFIRMLINE2,Je kunt deze wijziging niet ongedaan maken.
TID_CUSTOMIZE_SOLDOUTTITLE,Geplaatst
TID_CUSTOMIZE_SOLDOUTTEXT,Geniet van de nieuwe look!
TID_SUPERCELL_ID_LOGIN_BUTTON,Aanmelden met Supercell ID
TID_SUPERCELL_ID_NEW_GAME_BUTTON,Spelen zonder Supercell ID
TID_CUSTOMIZE_BTNREFRESH,Vervangen
TID_CUSTOMIZE_BTNCATALOG,Catalogus
TID_CUSTOMIZE_BTNBUILD,Bouwen
TID_CUSTOMIZE_BTNCANCEL,Annuleren
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_TITLE,Boerderij laden?
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_TEXT,Je boerderij <NAME> met level <LEVEL> is gevonden. Laad deze door je aan te melden met je Supercell ID.
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_NO,Annuleren
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_YES,Oké
TID_RENOVATOR_INFO_TITLE_1,Maak kennis met Boukje de klusjesvrouw!
TID_RENOVATOR_INFO_TITLE_2,Zo maak je gebruik van haar diensten
TID_RENOVATOR_INFO_TITLE_3,De catalogi
TID_RENOVATOR_INFO_TITLE_4,De catalogi
TID_RENOVATOR_INFO_TITLE_5,Bladzijde 5
TID_RENOVATOR_INFO_TITLE_6,Bladzijde 6
TID_RENOVATOR_INFO_TITLE_7,Bladzijde 7
TID_RENOVATOR_INFO_TEXT_1,"Boukje kan de look van je truck, huis en boerderijkraam aanpassen."
TID_RENOVATOR_INFO_TEXT_2,Ze heeft elke week nieuwe aanpassingsopties. Je kunt ook met diamanten betalen om nog meer opties te zien.
TID_RENOVATOR_INFO_TEXT_3,"De getoonde prijzen zijn de tarieven voor haar diensten. Je moet deze tarieven altijd betalen, ook als ze een onderdeel plaatst dat je al eerder hebt gebruikt."
TID_RENOVATOR_INFO_TEXT_4,"Onthoud dat je de plaatsing van een onderdeel niet ongedaan kunt maken. Om weer iets te veranderen, moet je een ander onderdeel kiezen en de tarieven van Boukje betalen."
TID_RENOVATOR_INFO_TEXT_5,Boukje geeft je twee catalogi: het stijlboek en het verzamelboek. Deze boeken zijn superhandig.
TID_RENOVATOR_INFO_TEXT_6,In het stijlboek staan suggesties voor nieuwe stijlen die je kunt proberen. Kijk weer in het stijlboek als je een stijl hebt voltooid om geweldige beloningen op te halen. Kun jij alle stijlen voltooien?
TID_RENOVATOR_INFO_TEXT_7,"In het verzamelboek staan alle items die je ooit hebt gebruikt of nu gebruikt. Wanneer Boukje op bezoek komt, kun je op de items tikken om ze opnieuw te gebruiken."
TID_SETTINGS_MUSIC_NEW,Muziek
TID_SETTINGS_SOUND_EFFECTS_NEW,Geluiden
TID_SETTINGS_SCID_TITLE,Supercell ID
TID_SETTINGS_FACEBOOK_TITLE,Facebook
TID_SETTINGS_FACEBOOK_FRIENDS_TITLE,Facebook-vrienden
TID_SETTINGS_GOOGLE_PLAY_TITLE,Google Play
TID_SETTINGS_SCID_CONNECTED,Verbonden
TID_SETTINGS_SCID_DISCONNECTED,Losgekoppeld
TID_SETTINGS_SOCIAL_MEDIA_CONNECTED_NEW,Verbonden
TID_SETTINGS_SOCIAL_MEDIA_DISCONNECTED_NEW,Losgekoppeld
TID_SETTINGS_SOCIAL_MEDIA_CONNECTING_NEW,Verbinden...
TID_PRODUCT_FLOWERPENDANT,Bloemenhanger
TID_PRODUCT_FLORALCANDLE,Bloemenkaars
TID_PRODUCT_SPICYSPAGHETTI,Pittige pasta
TID_PRODUCT_ONIONMELT,Kaasbroodje met ui
TID_PRODUCT_CARAMELLATTE,Karamel latte
TID_PRODUCT_CANDYBOUQUET,Snoepboeket
TID_PRODUCT_COCOASMOOTHIE,Chocoladesmoothie
TID_PRODUCT_BIGSUSHIROLL,Grote sushirol
TID_ADVANCE_SETTINGS_OFFERS_HEADER,Gepersonaliseerde aanbiedingen
TID_ADVANCE_SETTINGS_OFFERS_TEXT,Gepersonaliseerde winkelaanbiedingen en -meldingen inschakelen
TID_ORIGINAL_WHITE,Authentiek wit
TID_ORIGINAL_GRUE,Blauw-grijs
TID_ORIGINAL_TEAL,Blauwgroen
TID_ORIGINAL_DARK,Donkerpaars
TID_ORIGINAL_YELEEN,Olijfgroen
TID_ORIGINAL_BORING,Bruin
TID_BARN_RED,Rode schuur
TID_COUNTRY_GREY,Pittoresk grijs
TID_COUNTRY_PINK,Pittoresk roze
TID_COUNTRY_RED,Pittoresk rood
TID_COUNTRY_YELLOW,Pittoresk geel
TID_COUNTRY_WHITE,Pittoresk wit
TID_HALFNHALF_BLUE,Twee tinten blauw
TID_HALFNHALF_OLD,Twee tinten groen
TID_HALFNHALF_RETIREMENT,Twee tinten paars
TID_CUTE_BLUE,Schattig blauw
TID_CUTE_PASTEL_PINK,Schattig roze
TID_CUTE_GREEN,Schattig groen
TID_CUTE_GREY,Schattig grijs
TID_CUTE_PURPLE,Schattig paars
TID_CUTE_YELLOW,Schattig geel
TID_CUTE_RED,Schattig rood
TID_GASTHOUSE,Gastenverblijf
TID_PLANKS_YELLOW,Gele planken
TID_PLANKS2,Blauwgroene planken
TID_PLANKS3,Oudroze planken
TID_PLANKS4,Groene planken
TID_PLANKS5,Rode planken
TID_RUSTIC,Rustiek
TID_CABIN02_WHITE,Wit huisje
TID_CABIN02_GREEN,Groen huisje
TID_PORCH_ORIGINAL,Authentiek
TID_PORCH_COUNTRY,Pittoresk
TID_PORCH_BASIC_SHEEP,Wit hek
TID_PORCH_BASIC_COW,Schuur
TID_PORCH_CUTE,Schattig
TID_PORCH_GUESTHOUSE,Gastenverblijf
TID_PORCH_ORIGINAL_EXTENDED,Volledig balkon
TID_PORCH_POSH,Elegant
TID_PORCH_RUSTIC,Rustiek
TID_PORCH_BRIDGE_DITCH1,Brug
TID_PORCH_STABLE1,Stal
TID_PORCH_BRIDGE_DITCH2,Brug greppel 2
TID_PORTCH_DOC,Steiger
TID_PORCH_STABLE2,Stal 2
TID_ROOF_ORIGINAL_BORING_BLACK,Authentiek zwart
TID_ROOF_ORIGINAL_KINDA_RED,Rood
TID_ROOF_ORIGINAL_BLUE,Blauw
TID_ROOF_ORIGINAL_SPOOKY_PURPLE,Paars
TID_ROOF_OPENGABLE_KINDA_RED,"Open geveltop, rood"
TID_ROOF_OPENGABLE_BLUE,"Open geveltop, blauw"
TID_ROOF_OPENGABLE_GREEN,"Open geveltop, groen"
TID_ROOF_OPENGABLE_BLACK,"Open geveltop, zwart"
TID_ROOF_OPENGABLE_GOLD,"Open geveltop, goud"
TID_ROOF_OPENGABLE_SPOOKY_PURPLE,"Open geveltop, paars"
TID_ROOF_OPENGABLE_BROWN,"Open geveltop, bruin"
TID_ROOF_OPENGABLE_PINK,"Open geveltop, roze"
TID_ROOF_ATTIC_WINDOWS_RED,Rode zolder
TID_ROOF_ATTIC_WINDOWS_BLUE,Blauwe zolder
TID_ROOF_ATTIC_WINDOWS_GREEN,Groene zolder
TID_ROOF_ATTIC_WINDOWS_BLACK,Zwarte zolder
TID_ROOF_ATTIC_WINDOWS_ORANGE,Oranje zolder
TID_ROOF_ATTIC_WINDOWS_PURPLE,Paarse zolder
TID_ROOF_SPIKES_BLACK_AND_GOLD,Puntig zwart
TID_ROOF_SPIKES_GREY_AND_CHROME,Puntig grijs
TID_ROOF_SPIKES_BLUE_AND_BLACK,Puntig blauw
TID_ROOF_SPIKES_KINDA_RED,Puntig rood
TID_ROOF_WOODEN_PLANKS_KINDA_RED,Rode planken
TID_ROOF_WOODEN_PLANKS_GREEN,Groene planken
TID_ROOF_WOODEN_PLANKS_SPOOKY_PURPLE,Paarse planken
TID_ROOF_WOODEN_PLANKS_BLACK,Zwarte planken
TID_ROOF_WOODEN_PLANKS_BLUE,Blauwe planken
TID_ROOF_WOODEN_PLANKS_BROWN,Bruine planken
TID_ROOF_WOODEN_PLANKS_LIGHT_BROWN,Lichtbruine planken
TID_ROOF_METAL_BLACK,Zwart metaal
TID_ROOF_METAL_COPPER_NEW,Koper
TID_ROOF_METAL_COPPER_OLD,Oudkoper
TID_ROOF_METAL_BLUE,Blauw metaal
TID_ROOF_METAL_CHROME,Chroom
TID_ROOF_STRAW_YELLOW,Geel stro
TID_ROOF_STRAW_DARKO,Donker stro
TID_ROOF_STRAW_GREEN,Vers stro
TID_ROOF_FLAT,Dakterras
TID_BODY_NUDE,Authentiek rood
TID_BODY_TAXI_YELLOW,Felgeel
TID_BODY_ICECREAM,IJs
TID_BODY_GREEN,Felgroen
TID_BODY_BAD_ASS_BLUE,Felblauw
TID_BODY_BARBIE,Felroze
TID_BODY_BLACKHOLE,Zwart gat
TID_BODY_OLD_GREEN,Verschoten groen
TID_BODY_MAN_PURPLE,Donkerpaars
TID_BODY_HOTROD_RED,Twee tinten rood
TID_BODY_HOTROD_TEAL,Twee tinten blauwgroen
TID_BODY_HOTROD_JOKER,Twee tinten groen
TID_BODY_HOTROD_YELLOW,Twee tinten geel
TID_BODY_HOTROD_VINTAGE_BLACK,Twee tinten zwart
TID_BODY_HOTROD_VINTAGE_WHITE,Twee tinten wit
TID_BODY_FADE_SUNRISE,Zonsopgang
TID_BODY_FADE_DAY,Daglicht
TID_BODY_FADE_SUNSET,Zonsondergang
TID_BODY_FADE_NIGHT,Nacht
TID_BODY_FASTER_STRIPES_TEAL,Blauwgroen gestreept
TID_BODY_FASTER_STRIPES_YELLOW,Geel gestreept
TID_BODY_FASTER_STRIPES_SALMON,Zalmroze gestreept
TID_BODY_FASTER_STRIPES_ORANGE,Oranje gestreept
TID_BODY_FLAMEON_PURPLE,Paars met vlammen
TID_BODY_FLAMEON_ORANGE,Oranje met vlammen
TID_BODY_FLAMEON_GREEN,Groen met vlammen
TID_TRAILER_ORIGINAL_WHITE,"Hout, wit"
TID_TRAILER_ORIGINAL_GREEN,Authentiek groen
TID_TRAILER_ORIGINAL_BLUE,"Hout, blauw"
TID_TRAILER_ORIGINAL_SEA_FOAM,"Hout, mintgroen"
TID_TRAILER_ORIGINAL_BROWN,"Hout, bruin"
TID_TRAILER_ORIGINAL_PURPLE,"Hout, paars"
TID_TRAILER_HOTROD_RED,"Open, rood"
TID_TRAILER_HOTROD_YELLOW,"Open, geel"
TID_TRAILER_HOTROD_GREEN,"Open, groen"
TID_TRAILER_HOTROD_BLACK,"Open, zwart"
TID_TRAILER_HOTROD_MAN_PURPLE,"Open, paars"
TID_TRAILER_HOTROD_RAINBOW,"Open, regenboog"
TID_TRAILER_HOTROD_ROOF,"Gesloten, blauw"
TID_TRAILER_HOTROD_LOBSTER,"Gesloten, geel"
TID_TRAILER_HOTROD_JOKER,"Gesloten, groen"
TID_TRAILER_HOTROD_VINTAGE,"Gesloten, wit"
TID_TRAILER_WOODEN_FLATBED1,Lichte dieplader
TID_TRAILER_WOODEN_FLATBED2,Donkere dieplader
TID_WHEELS_REDAND_GOLD_BLING_GREY,Elegant grijs
TID_WHEELS_REDAND_GOLD_BLING_RUBBER,Elegant geel
TID_WHEELS_ORIGINAL_CHROME,Authentiek chroom
TID_WHEELS_ORIGINAL_REF,Eenvoudig rood
TID_WHEELS_ORIGINAL_GOLD,Eenvoudig goud
TID_WHEELS_ORIGINAL_BROWN,Eenvoudig groen
TID_WHEELS_ORIGINAL_DARK,Eenvoudig blauw
TID_WHEELS_HOTROD_RED,Twee tinten rood
TID_WHEELS_HOTROD_BLACK,Twee tinten zwart
TID_WHEELS_HOTROD_WHITE,Twee tinten wit
TID_WHEELS_HOTROD_COPPER,Twee tinten koper
TID_WHEELS_HOTROD_TEAL,Twee tinten blauwgroen
TID_WHEELS_SPOKES_CHROME,Chromen spaken
TID_WHEELS_SPOKES_GOLD,Gouden spaken
TID_WHEELS_SPOKES_JOKER,Paarse spaken
TID_WHEELS_SPOKES_TEAL,Blauwgroene spaken
TID_WHEELS_SPOKES_BARBIE,Roze spaken
TID_WHEELS_SPOKES_WOODEN,Bruine spaken
TID_WHEELS_HOT_WHEELS,Breed
TID_DECO_SHEEPTOY,Schapenveerwip
TID_DECO_PIGTOY,Varkenswip
TID_DECO_CARTOY,Tractorveerwip
TID_DECO_AGILITYTIRE,Behendigheidsband
TID_DECO_SEASONTREE,Seizoensboom
TID_DECO_ROCKINGUNICORN,Eenhoornschommel
TID_DECO_ROUNDABOUT,Carrousel
TID_DECO_TRELLISFENCE,Hek met latwerk
TID_DECO_LOGPATH,Boomstammenpad
TID_DECO_WHEELFENCE,Wielhek
TID_DECO_FLOWERPATH,Blauw bloemenpad
TID_RENOVATION_CATALOG_TITLE,Kies een catalogus
TID_RENOVATION_CATALOG_STYLE_GUIDE,Stijlboek
TID_RENOVATION_CATALOG_STYLE_GUIDE_INFO,Voltooi stijlen en krijg beloningen!
TID_RENOVATION_CATALOG_STICKER_BOOK,Verzamelboek
TID_RENOVATION_CATALOG_STICKER_BOOK_INFO,Bouw alles wat je ooit hebt geplaatst!
TID_STYLE_GUIDE_PAGE_COLLECT_BUTTON,Verzamelen
TID_POPUP_PROBABILITY_TITLE,Kansen
TID_DECO_DOGBED,Hondenmand
TID_DECO_DOGPOOL,Hondenzwembad
TID_DECO_RABBITPOLE,Wortelhindernis
TID_DECO_ELEPHANTSLIDE,Olifantenglijbaan
TID_BODY_FLAMEON_BLACK,Zwart met vlammen
TID_ROOF_ORIGINAL_VIOLET,Violet
TID_ROOF_ATTIC_WINDOWS_BROWN,Bruine zolder
TID_ROOF_ATTIC_WINDOWS_PINK,Roze zolder
TID_ROOF_ATTIC_WINDOWS_BABY_BLUE,Lichtblauwe zolder
TID_ROOF_SPIKES_WHITE,Puntig wit
TID_BODY_FASTER_STRIPES_RACING_GREEN,Groen gestreept
TID_PORCH_OVERGROWN,Steen
TID_PERCENTAGE,<NUMBER>%
TID_ACCOUNT_DISABLED_TEXT,Account opgeheven
TID_ACCOUNT_DELETED_ON_REQUEST_TEXT,Dit account is opgeheven naar aanleiding van een verwijderingsverzoek en kan niet meer worden hersteld.
TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT,Dit account is opgeheven wegens inactiviteit en kan niet meer worden hersteld.
TID_NATIVE_DIALOG_ACCOUNT_DISABLED_BUTTON,Oké
TID_CUSTOMIZE_SEARCHING,Zoeken...
TID_STYLE_GUIDE_PAGE_COLLECTED,Voltooid!
TID_FLOATER_COLLECT_STYLE_INCOMPLETE,Voltooi deze stijl voor je hem ophaalt.
TID_ACCOUNT_DELETION_WARNING_TITLE,Waarschuwing wegens verwijderen van account
TID_DECO_RAINBOWFLOWERPATH,Bloemenpad
TID_RENOVATOR_COMING_SOON,De klusjesvrouw wordt ontgrendeld op level <LEVEL>.
TID_RENOVATOR_COMING_SOON_ACHIEVEMENTS,De klusjesvrouw wordt ontgrendeld bij <POINTS> prestaties.
TID_CUSTOMIZE_RENEWSTOCKTEXT,Nieuwe voorraad over:
TID_CUSTOMIZE_ARRIVEINTEXT,Komt over:
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_GIFT_DIAMONDS_V2,"Er is een nieuwe update beschikbaar in de App Store! Update nu en krijg <NUMBER> diamanten.\n\nHet kan tot een uur duren voordat de update zichtbaar is in de winkel.\nAls de updateknop niet werkt, ga dan naar de App Store > Updates en SLEEP OMLAAG om het scherm te vernieuwen."
TID_RENOVATOR_TUTORIAL1,"Zou je je boerderij nog meer willen aanpassen aan je eigen smaak? Maak kennis met Boukje de klusjesvrouw.\n\nZe heeft wat gratis spullen voor je meegenomen, dus neem snel een kijkje."
TID_RENOVATOR_TUTORIAL2,Boukje komt elke maandag met een nieuw assortiment k-EI-goede opties voor verschillende prijzen. Je kunt haar ook een klein bedrag betalen om nog meer opties te bekijken.\n\nWil je wat suggesties voor aanpassingen? Kijk in haar catalogi.
