TID,TR
TID_BOOSTER_FASTER_FISHING_SPOT_COOLDOWN,Hızlı bölgeler
TID_BOOSTER_DESCRIPTION_FASTER_FISHING_SPOT_COOLDOWN,Balık tutma bölgeleri <TIME> saatliğine yüzde <NUMBER> hızlı yenilenir.
TID_BOOSTER_FASTER_LOBSTERS,Hızlı ıstakozlar
TID_BOOSTER_DESCRIPTION_FASTER_LOBSTERS,Istakozlar <TIME> saatliğine yüzde <NUMBER> daha hızlı avlanır ve yıkanır.
TID_BOOSTER_FASTER_DUCKS,Hızlı ördekler
TID_BOOSTER_DESCRIPTION_FASTER_DUCKS,Ördekler <TIME> saatliğine yüzde <NUMBER> daha hızlı avlanır ve taranır.
TID_NEIGHBORHOOD_TASK_MYSTERY_TOOLTIP_TITLE,Gizemli görev
TID_NEIGHBORHOOD_TASK_MYSTERY_TOOLTIP_DESCRIPTION,Bu görev başlayana kadar ne olduğu bilinmiyor!
TID_NEIGHBORHOOD_TASK_USE_SPECIFIC_TOWN_SERVICE_BUILDING_TITLE,Kasaba İnşaat Görevi
TID_NEIGHBORHOOD_TASK_USE_SPECIFIC_TOWN_SERVICE_BUILDING_DESCRIPTION,<BUILDING> binasında <NUMBER> ziyaretçiye hizmet ver
TID_DERBY_TASKLIST_TOOLTIP_USE_SPECIFIC_TOWN_SERVICE_BUILDING_TASK,<BUILDING> binasında ziyaretçilere hizmet ver ve ödüllerini al.
TID_NEIGHBORHOOD_TASK_RESERVE_FAILED_REP_LEVEL_REQUIREMENTS,Şöhretin bu görevi almak için çok düşük!
TID_PERSONAL_TRAIN_VISITOR_INFO,Tek bir seyahatte birden fazla kasabayı ziyaret edebilirsin!\n\nMahalle arkadaşlarını ziyaret edip platformlarından ziyaretçileri al!
TID_PERSONAL_TRAIN_VISITOR_CAPACITY,Trendeki ziyaretçi: <COUNT>/<CAPACITY>
TID_PERSONALTRAIN_FRIENDLIST_NO_VISITORS_TRAIN_READY,Komşularda şu anda alabileceğin ziyaretçi yok. Tren kasabamıza dönmeye hazır!
TID_BOOSTER_FASTER_TOWN_BUILDINGS,Hızlı kasaba hizmeti
TID_BOOSTER_DESCRIPTION_FASTER_TOWN_BUILDINGS,"<PARAM1>, <PARAM2> ve <PARAM3>, <TIME> saatliğine kasaba ziyaretçilerine yüzde <NUMBER> daha hızlı hizmet verir."
TID_BOOSTER_FASTER_PERSONAL_TRAIN,Daha kısa sürede tren bakımı
TID_BOOSTER_DESCRIPTION_FASTER_PERSONAL_TRAIN,Kişisel tren maliyeti <TIME> saatliğine yüzde <NUMBER> daha düşük
TID_DECO_CANNON,Eski top
TID_DECO_ANCHOR,Eski çapa
TID_DECO_WHEEL,Eski dümen
TID_DECO_CLOCK,Büyükbaba saati
TID_DECO_DOGSTATUE,Köpek heykeli
TID_DECO_LANTERNFENCE,Fenerli çit
TID_DECO_EASTERGATE,Paskalya kapısı
TID_DECO_EASTEREGG,Paskalya yumurtası
TID_DECO_EASTERHIDDENEGGS,Gizli yumurtalar
TID_DECO_EASTERPOND,Paskalya göleti
TID_DECO_EASTERGNOME,Paskalya yer cücesi
TID_DECO_EASTEREGGTREE,Yumurta ağacı
TID_DECO_VALENTINESGATE,Kalp kapı
TID_DECO_XMASSWING,Parti salıncağı
TID_BOOSTER_FASTER_NET_MAKER,Hızlı ağlar
TID_BOOSTER_DESCRIPTION_FASTER_NET_MAKER,"<PARAM1>, <TIME> saatliğine yüzde <NUMBER> hızlanır."
TID_DECO_LITTLETIGER,Küçük kaplan heykeli
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_BOOSTER_LOCKED_REPUTATION,Bu hızlandırıcıyı etkinleştirmek için <LEVEL>. şöhret seviyesine erişmelisin!
TID_TOWN_HALL_TAB_ALL,Tümü
TID_TOWN_HALL_SECTION_EMPTY_ALL,Kasabanda şu anda ziyaretçi yok
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_NET_MAKER,Bu hızlandırıcıyı etkinleştirmeden önce Ağ Üreticisini tamir et!
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_LOBSTER_POOL,Bu hızlandırıcıyı etkinleştirmeden önce Istakoz Havuzunu tamir et!
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_DUCK_SALON,Bu hızlandırıcıyı etkinleştirmeden önce Ördek Salonunu tamir et!
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_PERSONAL_TRAIN,Bu hızlandırıcıyı etkinleştirmeden önce Kişisel Treni tamir et!
TID_ROADSIDE_SHOP_NEW_SALE_MIN_BUTTON,En az
TID_ROADSIDE_SHOP_NEW_SALE_MAX_BUTTON,En fazla
TID_DECO_ELEPHANTEARS,Fil kulağı bitkisi
TID_DECO_BLOOMINGCACTUS,Çiçekli kaktüs
TID_DECO_ICEPLANTORANGE,Turuncu buz bitkisi
TID_DECO_SAGOPALM,Sago palmiyesi
TID_DECO_PRICKLYPEAR,Firavun inciri
TID_DECO_TERMITES,Küçük termit höyüğü
TID_DECO_CREOSOTE,Katran ruhu çalısı
TID_DECO_SAGUARO,Saguaro kaktüsü
TID_DECO_DRAGONBLOODTREE,Ejderin kanı ağacı
TID_DECO_ICEPLANTWHITE,Beyaz buz bitkisi
TID_DECO_BARRELCACTUS,Altınfıçı kaktüsü
TID_DECO_SMALLACACIA,Küçük akasya ağacı
TID_EVENT_BOAT_HELP_TITLE,Nehir teknesine yardım gerekiyor!
TID_EVENT_BOAT_HELP_TEXT,"Şimdi diğer çiftçilere yardım etme ve kendi çiftliğinizde de yardım alma zamanı! Süre dolmadan diğer çiftçiler için olabildiğince çok nehir teknesi sandığını tamamla! Bu etkinlikte tamamen diğer çiftçilerin tekne sandıklarına yardım ediyoruz, kendi teknemizdeki sandıklar etkinlik kapsamında değil.\n\nBüyük ödüller kazanmak için kişisel hedeflerine ulaş. Aldığın sonuçlar, topluluğun dünya hedefine de eklenir. Dünyanın dört bir yanındaki çiftçilerle birlik olup dünya hedefine ulaş ve ödüller kazan."
TID_EVENT_BOAT_HELP_NOTIFICATION,Büyük ödüllerle dolu bir etkinlik başladı! Denesene!
TID_EVENT_BOAT_HELP_MASSGIFT_TITLE,Tekne yardımı etkinliği
TID_EVENT_BOOSTER_BOAT_TITLE,Hızlandırıcı teknesi sezonu!
TID_EVENT_BOOSTER_BOAT_TEXT,"Nehir teknesi mevsimi geldi, turizm coştu! Bu etkinlik boyunca doldurduğun teknelerin her biri bir hızlandırıcı verecek! Arkadaşlarını ziyaret etmeyi ve onların teknelerine de yardım etmeyi unutma!\n\nNot: Ekstra hızlandırıcı ödülleri yalnızca bu etkinlik başladıktan sonra çiftliğine gelen tekneler için verilir."
TID_EVENT_BOOSTER_BOAT_NOTIFICATION,Sınırlı süreliğine bir hızlandırıcı teknesi etkinliği başladı!
TID_EVENT_PUZZLE_BOAT_TITLE,Bulmaca teknesi sezonu!
TID_EVENT_PUZZLE_BOAT_TEXT,"Nehir teknesi mevsimi geldi, turizm coştu! Bu etkinlik boyunca tekne doldurarak 5 bulmaca parçasına kadar kazanabilirsin! Arkadaşlarını ziyaret etmeyi ve onların teknelerine de yardım etmeyi unutma!\n\nNot: Ekstra bulmaca parçası ödülleri yalnızca bu etkinlik başladıktan sonra çiftliğine gelen tekneler için verilir."
TID_EVENT_PUZZLE_BOAT_NOTIFICATION,Sınırlı süreliğine bir bulmaca teknesi etkinliği başladı!
TID_EVENT_BARN_SILO_TRUCKS_TITLE,Cömert kamyon siparişleri!
TID_EVENT_BARN_SILO_TRUCKS_TEXT,"Şehirde kıtlık var!!! Bu etkinlik boyunca tamamladığın bazı kamyon teslimatları, özel ödül olarak ağıl ve ambar genişletme malzemeleri verecek.\n\nŞimdi üretime geçme zamanı! Şehir sakinlerinin sana ihtiyacı var!"
TID_EVENT_BARN_SILO_TRUCKS_NOTIFICATION,"Özel ödüller veren, sınırlı süreli bir kamyon etkinliği başladı!"
TID_EVENT_EXPANSION_TRUCKS_TITLE,Cömert kamyon siparişleri!
TID_EVENT_EXPANSION_TRUCKS_TEXT,Şehirde kıtlık var!!! Bu etkinlik boyunca tamamladığın bazı kamyon teslimatları özel ödül olarak rastgele genişletme öğeleri verecek.\n\nŞimdi üretime geçme zamanı! Şehir sakinlerinin sana ihtiyacı var!
TID_EVENT_EXPANSION_TRUCKS_NOTIFICATION,"Özel ödüller veren, sınırlı süreli bir kamyon etkinliği başladı!"
TID_EVENT_REWARDS_TRUCKS_TITLE,Cömert kamyon siparişleri!
TID_EVENT_REWARDS_TRUCKS_TEXT,Şehirde kıtlık var!!! Bu etkinlik boyunca yaptığın bazı sipariş teslimatları belirtilen paraya ek olarak özel ödüller de verecek. Şimdi üretime geçme zamanı! Şehir sakinlerinin sana ihtiyacı var!
TID_EVENT_REWARDS_TRUCKS_NOTIFICATION,"Özel ödüller veren, sınırlı süreli bir kamyon etkinliği başladı!"
TID_EVENT_PRODUCTION_BONANZA_TITLE,Üretim binaları çıldırdı!
TID_EVENT_PRODUCTION_BONANZA_TEXT,Tüm üretim makinelerinde MÖÖhteşem bir şey oluyor! Bu etkinlik sırasında tüm ürünler %20 daha kısa sürede üretiliyor. Bu çılgın etkinlik bitmeden üretmeye başlayalım!
TID_EVENT_PRODUCTION_BONANZA_NOTIFICATION,"Sınırlı süreliğine bir hasat etkinliği başladı! Tüm ekinler hızlandı, bir göz atmalısın!"
TID_EVENT_FASTER_PRODUCTION_TITLE,Daha hızlı üretim!
TID_EVENT_FASTER_PRODUCTION_TEXT,Üretim binaların fazla mesai yapıyor! Bu etkinlik sırasında üç rastgele bina daha hızlı üretim yapacak. Hangi binaların daha hızlı üretim yaptığını görmek için etkinlik posterine göz at!
TID_EVENT_FASTER_PRODUCTION_NOTIFICATION,Sınırlı süreliğine bir üretim etkinliği başladı! Hangi binaların hızlandığına göz at!
TID_EVENT_FASTER_CROP_BONANZA_TITLE,Daha hızlı ekin çılgınlığı!
TID_EVENT_FASTER_CROP_BONANZA_TEXT,"Vay canına, ekinler için harika bir mevsimdeyiz! Bu etkinlik sırasında tüm ekinler %20 daha hızlı büyüyor! Ekmeye başlama zamanı!"
TID_EVENT_FASTER_CROP_BONANZA_NOTIFICATION,Sınırlı süreliğine bir hasat etkinliği başladı! Tüm ekinler daha hızlı!
TID_EVENT_FASTER_CROPS_TITLE,Daha hızlı ekinler!
TID_EVENT_FASTER_CROPS_TEXT,"Vay canına, ekinler için harika bir mevsimdeyiz! Bu etkinlik sırasında üç rastgele ekin %50 daha hızlı büyüyor! Hadi ekime başlayalım!"
TID_EVENT_FASTER_CROPS_NOTIFICATION,Sınırlı süreliğine bir hasat etkinliği başladı! Hangi ekinlerin daha hızlı olduğuna göz at!
TID_EVENT_MORE_CROP_BONANZA_TITLE,Ekin çılgınlığı!
TID_EVENT_MORE_CROP_BONANZA_TEXT,"Vay canına, ekinler için harika bir mevsimdeyiz! Bu etkinlik sırasında tüm ekinler 2 yerine 3 ürün verecek. Haydi ekmeye başlayalım!"
TID_EVENT_MORE_CROP_BONANZA_NOTIFICATION,Sınırlı süreliğine bir hasat etkinliği başladı! Tüm ekinler daha verimli!
TID_EVENT_MORE_CROPS_TITLE,Daha fazla ekin!
TID_EVENT_MORE_CROPS_TEXT,"Vay canına, ekinler için harika bir mevsimdeyiz! Bu etkinlik sırasında üç rastgele ekin 2 yerine 3 ürün verecek. Hangi ekinlerin daha verimli olduğunu görmek için etkinlik posterine göz at!"
TID_EVENT_MORE_CROPS_NOTIFICATION,Sınırlı süreliğine bir hasat etkinliği başladı! Hangi ekinlerin daha verimli olduğuna göz at!
TID_EVENT_LAND_EXPANSION_TOWNIE_TITLE,Cömert kasaba ziyaretçileri!
TID_EVENT_LAND_EXPANSION_TOWNIE_TEXT,"Kasabada turizm coştu! Bu etkinlik boyunca iki veya üç binayı ziyaret eden kasaba ziyaretçileri kasabadan ayrılırken size çiftlik genişletme ödülleri verecek.\n\nAncak bu sadece etkinliğin başında gelen, adları mor renkle yazılmış ziyaretçiler için geçerli. Hizmet vermeye ve kasaba ziyaretçilerini mutlu etmeye başlamanın tam sırası!"
TID_EVENT_LAND_EXPANSION_TOWNIE_NOTIFICATION,Sınırlı süreli bir kasaba ödülleri etkinliği başladı!
TID_EVENT_VOUCHER_TOWNIE_TITLE,Cömert kasaba ziyaretçileri!
TID_EVENT_VOUCHER_TOWNIE_TEXT,"Kasabada turizm coştu! Bu etkinlik boyunca iki veya üç binayı ziyaret eden kasaba ziyaretçileri kasabadan ayrılırken size rastgele hediye çekleri verecek.\n\nAncak bu sadece etkinliğin başında gelen, adları mor renkle yazılmış ziyaretçiler için geçerli. Hizmet vermeye ve kasaba ziyaretçilerini mutlu etmeye başlamanın tam sırası!"
TID_EVENT_VOUCHER_TOWNIE_NOTIFICATION,Sınırlı süreli bir kasaba ödülleri etkinliği başladı!
TID_EVENT_BARN_SILO_TOWNIE_TITLE,Cömert kasaba ziyaretçileri!
TID_EVENT_BARN_SILO_TOWNIE_TEXT,"Kasabada turizm coştu! Bu etkinlik boyunca iki veya üç binayı ziyaret eden kasaba ziyaretçileri kasabadan ayrılırken size ağıl veya ambar ödülleri verecek.\n\nAncak bu sadece etkinliğin başında gelen, adları mor renkle yazılmış ziyaretçiler için geçerli. Hizmet vermeye ve kasaba ziyaretçilerini mutlu etmeye başlamanın tam sırası!"
TID_EVENT_BARN_SILO_TOWNIE_NOTIFICATION,Sınırlı süreli bir kasaba etkinliği başladı!
TID_EVENT_NEW_YEAR2018_TITLE,Yeni yıl etkinliği!
TID_EVENT_NEW_YEAR2018_TEXT,"2018 neredeyse geldi! Herkes yeni yıl kutlamalarına hazırlanıyor, kamyon siparişleri birbiri ardına akıyor! İşe koyulma zamanı! Şanslıysan balık tutma alanında havai fişekler bile görebilirsin.\n\nSüre dolmadan olabildiğince çok Kamyon Siparişi tamamlamalısın! Kişisel hedeflere ulaşarak büyük ödüller kazanabilirsin. Aldığın sonuçlar, topluluğun dünya hedefine de eklenir. Dünyanın dört bir yanındaki çiftçilerle birlik olup dünya hedefine ulaş ve ödüller kazan."
TID_EVENT_NEW_YEAR2018_NOTIFICATION,Yeni Yıl etkinliği başladı! Ödül kazanma zamanı!
TID_EVENT_CHRISTMAS2017_TITLE,Tatil yardımlaşması sezonu!
TID_EVENT_CHRISTMAS2017_TEXT,"Yıl sonu geldi, tatil sezonu başladı! Diğer çiftçilere yardım ederek tatil ruhunu yaşatma zamanı!\n\nSüre dolmadan diğer çiftçiler için olabildiğince çok ağaç ve çalıyı canlandır, nehir teknesi sandıklarını tamamla! Kişisel hedeflerine ulaşarak harika ödüller kazanabilirsin. Aldığın sonuçlar, topluluğun dünya hedefine de eklenir. Dünyanın dört bir yanındaki çiftçilerle birlik olup dünya hedefine ulaşın ve hep birlikte ödüller kazanın."
TID_EVENT_CHRISTMAS2017_NOTIFICATION,Büyük ödüllerin olduğu yeni Tatil sezonu etkinliğine göz at!
TID_HALLOWEEN_OFFER1,Cadılar Bayramı Fırsatı 1
TID_HALLOWEEN_OFFER2,Cadılar Bayramı Fırsatı 2
TID_HALLOWEEN_OFFER3,Cadılar Bayramı Fırsatı 3
TID_WELCOME_BACK_OFFER,Tekrar Hoş Geldiniz Fırsatı
TID_FALL_OFFER1,Sonbahar Fırsatı 1
TID_FALL_OFFER2,Sonbahar Fırsatı 2
TID_FALL_OFFER3,Sonbahar Fırsatı 3
TID_HOLIDAY_OFFER1,Tatil Fırsatı 1
TID_HOLIDAY_OFFER2,Tatil Fırsatı 2
TID_HOLIDAY_OFFER3,Tatil Fırsatı 3
TID_EASTER_OFFER1,Paskalya Fırsatı 1
TID_EASTER_OFFER2,Paskalya Fırsatı 2
TID_EASTER_OFFER3,Paskalya Fırsatı 3
TID_SUMMER_OFFER1,Yaz Fırsatı 1
TID_SUMMER_OFFER2,Yaz Fırsatı 2
TID_SUMMER_OFFER3,Yaz Fırsatı 3
TID_TOWN_HALL_TAB_LEAVING,Giden
TID_SANCTUARY_BOOK_LOCKED_FIRSTBABY_DESCRIPTION,Aynı tür iki yetişkin hayvan tamamlandıktan sonra açılır
TID_SANCTUARY_BOOK_LOCKED_SECONDBABY_DESCRIPTION,Aynı tür ilk yavru hayvan tamamlandıktan sonra açılır
TID_DECO_CATTREE,Tırmalama direği
TID_DERBY_RACETRACK_TROPHY_UNREACHABLE_TOOLTIP,Bu nala ulaşmak için daha çok derbi oyuncusu gerekiyor!
TID_CUSTOMIZE_TITLE,Çiftliğini özelleştir
TID_CUSTOMIZE_DESCRIPTION,Bir sürü şeyi özelleştirebiliyorum! Bu benim mevcut stokum ve hizmet fiyatlarım.
TID_CUSTOMIZE_TIMEPRETEXT,İnşaatçının gitmesine:
TID_CUSTOMIZE_AREYOUSURE,Emin misin?
TID_CUSTOMIZE_CONFIRMLINE1,Maggie aşağıda gösterilen parçaları kuracak:
TID_CUSTOMIZE_CONFIRMLINE2,Bu değişikliği geri alamayacaksın.
TID_CUSTOMIZE_SOLDOUTTITLE,Kuruldu
TID_CUSTOMIZE_SOLDOUTTEXT,Yeni görünümün keyfini çıkar!
TID_SUPERCELL_ID_LOGIN_BUTTON,Supercell ID ile giriş yap
TID_SUPERCELL_ID_NEW_GAME_BUTTON,Supercell ID olmadan oyna
TID_CUSTOMIZE_BTNREFRESH,Yeniden stokla
TID_CUSTOMIZE_BTNCATALOG,Katalog
TID_CUSTOMIZE_BTNBUILD,İnşa et
TID_CUSTOMIZE_BTNCANCEL,İptal
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_TITLE,Çiftlik yüklensin mi?
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_TEXT,<LEVEL>. seviye <NAME> adlı çiftliğin bulundu! Supercell ID ile giriş yaparak yükleyebilirsin.
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_NO,İptal
TID_LOAD_SUPERCELL_ID_ACCOUNT_CONFIRM_YES,Tamam
TID_RENOVATOR_INFO_TITLE_1,İnşaatçı Maggie ile tanış!
TID_RENOVATOR_INFO_TITLE_2,Hizmetlerini kullanma
TID_RENOVATOR_INFO_TITLE_3,Katalog kitapları!
TID_RENOVATOR_INFO_TITLE_4,Katalog kitapları!
TID_RENOVATOR_INFO_TITLE_5,5. Sayfa
TID_RENOVATOR_INFO_TITLE_6,6. Sayfa
TID_RENOVATOR_INFO_TITLE_7,7. Sayfa
TID_RENOVATOR_INFO_TEXT_1,"Maggie; kamyonunu, çiftlik evini ve cadde üzeri dükkanını özelleştirebilir."
TID_RENOVATOR_INFO_TEXT_2,"İnşaatçı, her hafta yeni seçenekler sunar. Ayrıca ekstra seçenekleri görmek için elmas ödeyebilirsin."
TID_RENOVATOR_INFO_TEXT_3,"Gösterilen fiyatlar onun hizmet fiyatlarıdır. Daha önce sahip olduğun bir parçayı kuruyor olsa bile ona her zaman ödeme yapmalısın, çünkü hizmet için ödeme yapıyorsun!"
TID_RENOVATOR_INFO_TEXT_4,Unutma; bir parçanın kurulumunu geri almanın yolu yoktur. Değiştirmek için başka bir parça seçip Maggie'nin ücretini ödemelisin.
TID_RENOVATOR_INFO_TEXT_5,Maggie sana iki katalog sunar: Tarz kitabı ve koleksiyon kitabı. Oldukça kullanışlılar!
TID_RENOVATOR_INFO_TEXT_6,"Tarz kitabı, deneyebileceğin özelleştirme tarzlarına dair tavsiyeler içerir. Harika ödüller toplamak için bir tarzı tamamladığında tekrar göz at! Hepsini tamamlayabilir misin?"
TID_RENOVATOR_INFO_TEXT_7,"Koleksiyon kitabı, geçmişte kurduğun ve şu an kurulu olan tüm parçaları gösterir. Maggie ziyarete geldiğinde onları yeniden kurmak için öğelere dokunabilirsin!"
TID_SETTINGS_MUSIC_NEW,Müzik
TID_SETTINGS_SOUND_EFFECTS_NEW,Sesler
TID_SETTINGS_SCID_TITLE,Supercell ID
TID_SETTINGS_FACEBOOK_TITLE,Facebook
TID_SETTINGS_FACEBOOK_FRIENDS_TITLE,Facebook arkadaşları
TID_SETTINGS_GOOGLE_PLAY_TITLE,Google Play
TID_SETTINGS_SCID_CONNECTED,Bağlandı
TID_SETTINGS_SCID_DISCONNECTED,Bağlı değil
TID_SETTINGS_SOCIAL_MEDIA_CONNECTED_NEW,Bağlandı
TID_SETTINGS_SOCIAL_MEDIA_DISCONNECTED_NEW,Bağlı değil
TID_SETTINGS_SOCIAL_MEDIA_CONNECTING_NEW,Bağlanıyor
TID_PRODUCT_FLOWERPENDANT,Çiçek kolyesi
TID_PRODUCT_FLORALCANDLE,Çiçekli mum
TID_PRODUCT_SPICYSPAGHETTI,Baharatlı makarna
TID_PRODUCT_ONIONMELT,Soğanlı sos
TID_PRODUCT_CARAMELLATTE,Karamelli latte
TID_PRODUCT_CANDYBOUQUET,Şeker buketi
TID_PRODUCT_COCOASMOOTHIE,Kakaolu buzlu içecek
TID_PRODUCT_BIGSUSHIROLL,Büyük suşi
TID_ADVANCE_SETTINGS_OFFERS_HEADER,Kişiselleştirilmiş teklifler
TID_ADVANCE_SETTINGS_OFFERS_TEXT,Kişiselleştirilmiş dükkan tekliflerini ve bildirimleri etkinleştir
TID_ORIGINAL_WHITE,Orijinal beyaz
TID_ORIGINAL_GRUE,Mavi-gri
TID_ORIGINAL_TEAL,Deniz mavisi
TID_ORIGINAL_DARK,Koyu mor
TID_ORIGINAL_YELEEN,Açık yeşil
TID_ORIGINAL_BORING,Kahverengi
TID_BARN_RED,Kırmızı ağıl
TID_COUNTRY_GREY,Köy grisi
TID_COUNTRY_PINK,Köy pembesi
TID_COUNTRY_RED,Köy kırmızısı
TID_COUNTRY_YELLOW,Köy sarısı
TID_COUNTRY_WHITE,Köy beyazı
TID_HALFNHALF_BLUE,İki tonlu mavi
TID_HALFNHALF_OLD,İki tonlu yeşil
TID_HALFNHALF_RETIREMENT,İki tonlu mor
TID_CUTE_BLUE,Sevimli mavi
TID_CUTE_PASTEL_PINK,Sevimli pembe
TID_CUTE_GREEN,Sevimli yeşil
TID_CUTE_GREY,Sevimli gri
TID_CUTE_PURPLE,Sevimli mor
TID_CUTE_YELLOW,Sevimli sarı
TID_CUTE_RED,Sevimli kırmızı
TID_GASTHOUSE,Konuk evi
TID_PLANKS_YELLOW,Sarı kalaslar
TID_PLANKS2,Deniz mavisi kalaslar
TID_PLANKS3,Gül kurusu kalaslar
TID_PLANKS4,Yeşil kalaslar
TID_PLANKS5,Kırmızı kalaslar
TID_RUSTIC,Kırsal
TID_CABIN02_WHITE,Beyaz kulübe
TID_CABIN02_GREEN,Yeşil kulübe
TID_PORCH_ORIGINAL,Orijinal
TID_PORCH_COUNTRY,Köy
TID_PORCH_BASIC_SHEEP,Beyaz çit
TID_PORCH_BASIC_COW,Ağıl
TID_PORCH_CUTE,Sevimli
TID_PORCH_GUESTHOUSE,Konuk evi
TID_PORCH_ORIGINAL_EXTENDED,Tam balkon
TID_PORCH_POSH,Şık
TID_PORCH_RUSTIC,Kırsal
TID_PORCH_BRIDGE_DITCH1,Köprü
TID_PORCH_STABLE1,Ahır
TID_PORCH_BRIDGE_DITCH2,Köprü Su Yolu2
TID_PORTCH_DOC,Rıhtım
TID_PORCH_STABLE2,Ahır2
TID_ROOF_ORIGINAL_BORING_BLACK,Orijinal siyah
TID_ROOF_ORIGINAL_KINDA_RED,Kırmızı
TID_ROOF_ORIGINAL_BLUE,Mavi
TID_ROOF_ORIGINAL_SPOOKY_PURPLE,Mor
TID_ROOF_OPENGABLE_KINDA_RED,Kırmızı yüksek çatı
TID_ROOF_OPENGABLE_BLUE,Mavi yüksek çatı
TID_ROOF_OPENGABLE_GREEN,Yeşil yüksek çatı
TID_ROOF_OPENGABLE_BLACK,Siyah yüksek çatı
TID_ROOF_OPENGABLE_GOLD,Altın yüksek çatı
TID_ROOF_OPENGABLE_SPOOKY_PURPLE,Mor yüksek çatı
TID_ROOF_OPENGABLE_BROWN,Kahverengi yüksek çatı
TID_ROOF_OPENGABLE_PINK,Pembe yüksek çatı
TID_ROOF_ATTIC_WINDOWS_RED,Kırmızı çatı katı
TID_ROOF_ATTIC_WINDOWS_BLUE,Mavi çatı katı
TID_ROOF_ATTIC_WINDOWS_GREEN,Yeşil çatı katı
TID_ROOF_ATTIC_WINDOWS_BLACK,Siyah çatı katı
TID_ROOF_ATTIC_WINDOWS_ORANGE,Turuncu çatı katı
TID_ROOF_ATTIC_WINDOWS_PURPLE,Mor çatı katı
TID_ROOF_SPIKES_BLACK_AND_GOLD,Çivili siyah
TID_ROOF_SPIKES_GREY_AND_CHROME,Çivili gri
TID_ROOF_SPIKES_BLUE_AND_BLACK,Çivili mavi
TID_ROOF_SPIKES_KINDA_RED,Çivili kırmızı
TID_ROOF_WOODEN_PLANKS_KINDA_RED,Kırmızı kalaslar
TID_ROOF_WOODEN_PLANKS_GREEN,Yeşil kalaslar
TID_ROOF_WOODEN_PLANKS_SPOOKY_PURPLE,Mor kalaslar
TID_ROOF_WOODEN_PLANKS_BLACK,Siyah kalaslar
TID_ROOF_WOODEN_PLANKS_BLUE,Mavi kalaslar
TID_ROOF_WOODEN_PLANKS_BROWN,Kahverengi kalaslar
TID_ROOF_WOODEN_PLANKS_LIGHT_BROWN,Açık kahverengi kalaslar
TID_ROOF_METAL_BLACK,Siyah metal
TID_ROOF_METAL_COPPER_NEW,Bakır
TID_ROOF_METAL_COPPER_OLD,Eski bakır
TID_ROOF_METAL_BLUE,Mavi metal
TID_ROOF_METAL_CHROME,Krom
TID_ROOF_STRAW_YELLOW,Sarı hasır
TID_ROOF_STRAW_DARKO,Koyu hasır
TID_ROOF_STRAW_GREEN,Taze hasır
TID_ROOF_FLAT,Düz
TID_BODY_NUDE,Orijinal kırmızı
TID_BODY_TAXI_YELLOW,Parlak sarı
TID_BODY_ICECREAM,Dondurma
TID_BODY_GREEN,Parlak yeşil
TID_BODY_BAD_ASS_BLUE,Elektrik mavisi
TID_BODY_BARBIE,Parlak Pembe
TID_BODY_BLACKHOLE,Kara delik
TID_BODY_OLD_GREEN,Soluk yeşil
TID_BODY_MAN_PURPLE,Koyu mor
TID_BODY_HOTROD_RED,İki tonlu kırmızı
TID_BODY_HOTROD_TEAL,İki tonlu deniz mavisi
TID_BODY_HOTROD_JOKER,İki tonlu yeşil
TID_BODY_HOTROD_YELLOW,İki tonlu sarı
TID_BODY_HOTROD_VINTAGE_BLACK,İki tonlu siyah
TID_BODY_HOTROD_VINTAGE_WHITE,İki tonlu beyaz
TID_BODY_FADE_SUNRISE,Gün doğumu soluk
TID_BODY_FADE_DAY,Gün ışığı soluk
TID_BODY_FADE_SUNSET,Gün batımı soluk
TID_BODY_FADE_NIGHT,Gece vakti soluk
TID_BODY_FASTER_STRIPES_TEAL,Çizgili deniz mavisi
TID_BODY_FASTER_STRIPES_YELLOW,Çizgili sarı
TID_BODY_FASTER_STRIPES_SALMON,Çizgili somon
TID_BODY_FASTER_STRIPES_ORANGE,Çizgili turuncu
TID_BODY_FLAMEON_PURPLE,Alevli mor
TID_BODY_FLAMEON_ORANGE,Alevli turuncu
TID_BODY_FLAMEON_GREEN,Alevli yeşil
TID_TRAILER_ORIGINAL_WHITE,Ahşap beyaz
TID_TRAILER_ORIGINAL_GREEN,Orijinal yeşil
TID_TRAILER_ORIGINAL_BLUE,Ahşap mavi
TID_TRAILER_ORIGINAL_SEA_FOAM,Ahşap deniz köpüğü
TID_TRAILER_ORIGINAL_BROWN,Ahşap kahverengi
TID_TRAILER_ORIGINAL_PURPLE,Ahşap mor
TID_TRAILER_HOTROD_RED,Kırmızı açık
TID_TRAILER_HOTROD_YELLOW,Sarı açık
TID_TRAILER_HOTROD_GREEN,Yeşil açık
TID_TRAILER_HOTROD_BLACK,Siyah açık
TID_TRAILER_HOTROD_MAN_PURPLE,Mor açık
