TID,VI
TID_NEIGHBORHOOD_IN_DERBY,Đang đua ngựa
TID_NEIGHBORHOOD_NOT_IN_DERBY,Không đua ngựa
TID_DERBY_END_BLOCKED_WAITING_RESONSE,Đang xử lý kết quả. Có thể mất vài phút.
TID_GOLDENTREE,Cây lá vàng
TID_GOLDENTREE_DESCRIPTION,Đồ trang trí cấp 100 đặc biệt
TID_PINKSCOOTER,Xe tay ga màu hồng
TID_ADVANCED_EVENT_TITLE_GENERIC_TOWNVISITORS,Mùa du lịch
TID_ADVANCED_EVENT_TEXT_GENERIC_TOWNVISITORS,Mùa du lịch đã đến và du khách đang đổ về các thị trấn! Hãy phục vụ tất cả yêu cầu của càng nhiều Khách ghé thăm Thị trấn càng tốt bằng cách thực hiện các yêu cầu của họ và thu thập các món quà cuối cùng từ họ! Hãy đạt mục tiêu cá nhân của bạn để giành những phần thưởng tuyệt vời. Kết quả của bạn cũng sẽ đóng góp vào mục tiêu toàn cầu của cộng đồng. Hãy đạt mục tiêu toàn cầu cùng các nông dân trên toàn thế giới và sau đó mọi người đều có thưởng.
TID_CALENDAR_EVENT_CAR_ORDER_XPBONUS_TEXT,"Các sản phẩm của bạn đang được cả thị trấn đề cập đến!!! Mọi đợt giao hàng bằng xe tải hoàn thành trong thời gian diễn ra sự kiện sẽ cho bạn gấp đôi phần thưởng kinh nghiệm. Còn bây giờ, hãy bắt tay vào sản xuất các loại hàng hóa đó, dân làng đang rất muốn mua thêm!"
TID_DERBY_TASKLIST_TOOLTIP_FISHING_TASK,Dùng mồi câu ở điểm đánh bắt cá. Lưới đánh cá không được tính.
TID_DERBY_TASKLIST_TOOLTIP_CARORDERS_TASK,Hoàn thành các đơn hàng trên bảng đơn hàng xe tải.
TID_DERBY_TASKLIST_TOOLTIP_BOATORDERS_TASK,Cho thuyền chứa tất cả thùng hàng đã chất đầy rời bến.
TID_DERBY_TASKLIST_TOOLTIP_TOWNVISITOR_TASK,"Hoàn thành các yêu cầu tòa nhà từ khách tham quan thị trấn, sau đó nhận quà tặng cuối cùng."
TID_DERBY_TASKLIST_TOOLTIP_EXCAVATEORE_TASK,Dùng dụng cụ khai thác mỏ trong mỏ.
TID_DERBY_TASKLIST_TOOLTIP_FEEDANIMAL_TASK,Cho vật nuôi trên trang trại ăn. Không tính thú cưng.
TID_DERBY_TASKLIST_TOOLTIP_HELP_TASK,Giúp tưới các bụi cây và cây bị héo\nhoặc đóng đầy các thùng hàng\ntrên thuyền của trang trại người chơi khác.
TID_CALENDAR_EVENT_BOAT_ORDER_XPBONUS_TEXT,"Đã đến mùa tàu thuyền trên sông, và ngành du lịch cũng đã tới lúc cao điểm rồi! Trong thời gian diễn ra sự kiện này bạn sẽ nhận được gấp đôi số điểm kinh nghiệm khi hoàn thành một thùng hàng và toàn bộ chuyến hàng của thuyền! Đừng quên ghé thăm bạn bè và giúp đỡ thuyền của họ nữa nhé."
TID_MASSGIFT_REACHED_LEVEL100_TEXT,"Xin chào <NAME>! Bạn đã đạt cấp 100! Xin chúc mừng! Hãy nhận món đồ trang trí TUYỆT ĐẸP này thay cho lời cảm ơn vì sự ủng hộ và phản hồi của bạn, và trên hết, vì đã chơi Hay Day!"
TID_MASSGIFT_REACHED_LEVEL100_HEADER,Cấp 100!
TID_NEIGHBORHOOD_TASK_GIVE_HELP_TITLE,Nhiệm vụ giúp đỡ
TID_NEIGHBORHOOD_TASK_GIVE_HELP_DESCRIPTION,Giúp đỡ các nông dân khác <NUMBER> lần
TID_TRAIL,Đường mòn
TID_TRAIL_DESCRIPTION,Trang trí trang trại của bạn
TID_SETTINGS_TAB_NEWS_EMPTY,Hiện không có tin nhắn mới. Vui lòng kiểm tra lại sau!
TID_NOTICE_DIALOG_TOS_PRIVACY_POLICY_TITLE,Thông báo quan trọng
TID_NOTICE_DIALOG_TOS_PRIVACY_POLICY_MESSAGE,"Bạn được chơi Hay Day miễn phí, tuy nhiên, bạn có thể đẩy nhanh tiến trình bằng cách mua vật phẩm trong ứng dụng (bạn có thể tắt chức năng này trong phần cài đặt của thiết bị). Nhấn OK để chấp nhận Điều khoản và Chính sách Quyền riêng tư của chúng tôi."
TID_NOTICE_DIALOG_TOS_PRIVACY_POLICY_MESSAGE_ANDROID,"Bạn được chơi Hay Day miễn phí, tuy nhiên, bạn có thể đẩy nhanh tiến trình bằng cách mua vật phẩm trong ứng dụng (để tắt chức năng này, hãy cài đặt bảo vệ bằng mật khẩu trong phần cài đặt ứng dụng Google Play Store). Nhấn OK để chấp nhận Điều khoản và Chính sách Quyền riêng tư của chúng tôi."
TID_NOTICE_DIALOG_TOS_PRIVACY_POLICY_MESSAGE_NEW,"Chúng tôi đã cập nhật Điều khoản Dịch vụ. Khi chọn \qChấp nhận\q hoặc tiếp tục chơi Hay Day, nghĩa là bạn đồng ý với các điều khoản đã cập nhật."
TID_NOTICE_DIALOG_TOS_PRIVACY_POLICY_BUTTON1,Điều khoản Dịch vụ
TID_NOTICE_DIALOG_TOS_PRIVACY_POLICY_BUTTON2,Chính sách Quyền riêng tư
TID_NOTICE_DIALOG_TOS_PRIVACY_POLICY_BUTTON3,Chấp nhận
TID_ADVANCE_SETTINGS_DERBY_HEADLINE,Cài đặt Cuộc đua ngựa:
TID_ADVANCE_SETTINGS_DERBY_SETTINGS_INFO,"Nếu chọn không tham gia Cuộc đua ngựa, bạn không thể nhận nhiệm vụ hay phần thưởng và sẽ không được đưa vào các cuộc thi Đua ngựa. Lựa chọn này rất phù hợp khi bạn đang đi nghỉ! LƯU Ý: Thay đổi cài đặt này sẽ chỉ áp dụng từ Cuộc đua tiếp theo trở đi."
TID_ADVANCE_SETTINGS_DERBY_OPT_IN_TEXT,Tham gia (chọn tham gia) vào Cuộc đua ngựa của Khu dân cư
TID_TYPE_NEIGHBORHOOD_TASK_RESERVE_FAILED_DERBY_OPT_OUT,Bạn đã chọn không tham gia Cuộc đua ngựa hiện tại. Bạn không thể nhận nhiệm vụ.
TID_TYPE_NEIGHBORHOOD_TASK_DISCARD_FAILED_DERBY_OPT_OUT,Bạn đã chọn không tham gia Cuộc đua hiện tại. Bạn không thể hủy bỏ nhiệm vụ.
TID_TYPE_NEIGHBORHOOD_TASK_PLUS_ONE_TASK_FAILED_DERBY_OPT_OUT,Bạn đã chọn không tham gia Cuộc đua hiện tại. Bạn không thể mua thêm nhiệm vụ.
TID_NEIGHBORHOOD_DERBY_LOG_SHARED,Nhật ký nhiệm vụ cuộc đua ngựa:
TID_NEIGHBORHOOD_DERBY_LOG_SHARED_SHORT,Nhật ký cuộc đua ngựa:
TID_NEIGHBORHOOD_DERBY_LOG_SHARED_YES,Đã chia sẻ
TID_NEIGHBORHOOD_DERBY_LOG_SHARED_NO,Chưa được chia sẻ
TID_NEIGHBORHOOD_DERBY_LOG_TITLE,Nhật ký nhiệm vụ cuộc đua ngựa khu dân cư
TID_NEIGHBORHOOD_DERBY_LOG_DESCRIPTION,Thủ lĩnh và đồng thủ lĩnh chọn hiển thị thông tin này ở phần cài đặt khu dân cư
TID_NEIGHBORHOOD_DERBY_LOG_TASKS,<TASKS>/<TOTAL>
TID_NEIGHBORHOOD_DERBY_LOG_POINTS,<POINTS>
TID_TYPE_NEIGHBORHOOD_TASK_SPEED_UP_DERBY_OPT_OUT,Bạn đã chọn không tham gia Cuộc đua ngựa hiện tại. Bạn không thể tăng tốc các nhiệm vụ.
TID_NEIGHBORHOOD_DERBY_LOG_NOT_VISIBLE_NOT_IN_NEIGHBORHOOD,Bạn không thể xem nhật ký nhiệm vụ Cuộc đua ngựa vì bạn chưa gia nhập Khu dân cư nào cả.
TID_NEIGHBORHOOD_DERBY_LOG_NOT_VISIBLE_CANNOT_PARTICIPATE,Bạn không thể xem nhật ký nhiệm vụ Cuộc đua ngựa vì bạn gia nhập khu dân cư này sau khi Cuộc đua ngựa bắt đầu. Bạn không được tham gia cuộc đua ngựa hiện tại.
TID_NEIGHBORHOOD_DERBY_LOG_NOT_VISIBLE_OPTED_OUT,Bạn không thể xem nhật ký nhiệm vụ Cuộc đua ngựa vì bạn đã chọn không tham gia Cuộc đua ngựa hiện tại. Hãy nhấn nút bên dưới để tham gia Cuộc đua ngựa tiếp theo!
TID_NEIGHBORHOOD_DERBY_LOG_NOT_VISIBLE_OPTED_OUT_OPTED_IN,Bạn không thể xem nhật ký nhiệm vụ Cuộc đua ngựa vì bạn đã chọn không tham gia Cuộc đua ngựa hiện tại. Hãy chờ cho đến Cuộc đua ngựa tiếp theo để tham gia!
TID_NEIGHBORHOOD_DERBY_LOG_NOT_VISIBLE_NOT_SHARED,Khu dân cư của bạn không chia sẻ nhật ký Cuộc đua ngựa. Thủ lĩnh và Đồng thủ lĩnh có thể mở nhật ký này qua phần cài đặt của Khu dân cư.
TID_NEIGHBORHOOD_DERBY_LOG_NOT_VISIBLE_DERBY_PAUSED,Cuộc đua ngựa đang tạm dừng! Hãy kiểm tra lại khi Cuộc đua ngựa tiếp theo bắt đầu.
TID_DERBY_OPTED_OUT_FROM_DERBY_MESSAGE,Bạn đã chọn không tham gia Cuộc đua ngựa hiện tại.
TID_DERBY_TASKS_OPTED_OUT_FROM_DERBY_MESSAGE,"Bạn đã sẵn sàng tham gia cuộc vui chưa?\n\nHãy cùng hàng xóm của bạn tham gia Cuộc đua ngựa và cùng nhau về vạch đích!\n\nThực hiện các nhiệm vụ trong cuộc đua, giúp đỡ hàng xóm và nhận phần thưởng tuyệt vời sau khi cuộc đua kết thúc.\n\nHãy thắng yên cho ngựa đua của bạn và tham gia cuộc đua ngay!"
TID_DERBY_TASKS_OPTED_OUT_FROM_DERBY_MESSAGE_OPTED_IN,"Bạn đã chọn không tham gia Cuộc đua ngựa hiện tại nhưng đừng lo! Ngay khi Cuộc đua ngựa tiếp theo bắt đầu, bạn sẽ được tham gia. Hãy chuẩn bị sẵn sàng để đón nhận thật nhiều điều thú vị trong Cuộc đua ngựa tiếp theo!"
TID_FLOATER_REACH_HIGHER_LEAGUE,Đạt tới giải đấu cao hơn để mở khóa nhiều phần thưởng hơn
TID_NEIGHBORHOOD_DERBY_BUTTON_PARTICIPATE,Tham gia Cuộc đua ngựa tiếp theo
TID_GRASSFENCES,Chướng ngại vật nhỏ
TID_GRASSFENCEL,Chướng ngại vật lớn
TID_CROSSFENCE,Chướng ngại vật chữ X
TID_WHITEFENCE,Chướng ngại vật màu trắng
TID_HAYFENCE,Chướng ngại vật cỏ khô
TID_HORSESHOESTATUE,Bức tượng móng ngựa
TID_ROCKINGHORSE,Ngựa bập bênh
TID_INBOX_NEIGHBORHOOD_SETTINGS_CHANGED_TITLE,Cài đặt khu dân cư đã thay đổi
TID_INBOX_NEIGHBORHOOD_SETTINGS_CHANGED_DERBY_TASK_LOG_SHARED,<SENDER> đã chia sẻ Nhật ký Nhiệm vụ Cuộc đua ngựa Khu dân cư.
TID_INBOX_NEIGHBORHOOD_SETTINGS_CHANGED_DERBY_TASK_LOG_UNSHARED,<SENDER> đã hủy chia sẻ Nhật ký Nhiệm vụ Cuộc đua ngựa Khu dân cư.
TID_TRACTORTIREROSES,Lốp xe hoa hồng
TID_WASHINGBUCKET,Chậu giặt giũ
TID_LEAGUE1,Giải đấu Tân binh
TID_LEAGUE2,Giải đấu Nghiệp dư
TID_LEAGUE3,Giải đấu Chuyên nghiệp
TID_LEAGUE4,Giải đấu Bậc thầy
TID_LEAGUE5,Giải đấu Vô địch
TID_HORSE5,Ngựa Lipizzaner
TID_NOTIFICATION_DERBY_OPTED_OUT,Cuộc đua ngựa tiếp theo sắp bắt đầu và bạn đã chọn không tham gia! Hãy cùng khu dân cư của bạn tham gia hoạt động vui chơi và nhận phần thưởng!
TID_HORSETOPIARY,Cây cảnh hình ngựa
TID_DERBY_DECO_DESCRIPTION,Đồ trang trí giải thưởng Cuộc đua ngựa đặc biệt
TID_TUTORIAL_NEIGHBORHOOD_DERBY5,"Và bây giờ: Giải đua ngựa!\nNếu khu dân cư của bạn đạt thành tích thuộc 3 đội dẫn đầu, bạn sẽ được thăng cấp lên Giải đấu tiếp theo.\nGiải đấu cao hơn cho phép bạn nhận thêm nhiệm vụ và giành thêm phần thưởng!"
TID_TUTORIAL_NEIGHBORHOOD_DERBY6,"Tuy nhiên, nếu khu dân cư của bạn thuộc 3 đội xếp cuối bảng hoặc không giành được chiếc móng ngựa đầu tiên thì sẽ bị đẩy xuống Giải đấu thấp hơn."
TID_TUTORIAL_NEIGHBORHOOD_DERBY7,"Nếu bạn không thể tham gia Cuộc đua ngựa tiếp theo, bạn có thể chọn không tham gia trong phần Cài đặt nâng cao.\n\nTham gia Cuộc đua ngựa vui vẻ nhé!"
TID_DERBY_LEAGUE_UP,Được thăng hạng lên <LEAGUE>
TID_DERBY_LEAGUE_DOWN,Bị giảm hạng xuống <LEAGUE>
TID_DERBY_LEAGUE_SAME,Vẫn giữ nguyên vị trí ở <LEAGUE>
TID_NEIGHBORHOOD_PREFERRED_LANGUAGE,Ngôn ngữ ưu tiên:
TID_DERBY_AVAILABLE_TASKS,Nhiệm vụ hiện có: <AVAILABLE_TASK>/<TOTAL_TASK>
TID_DERBY_BUY_EXTRA_TASK,Mua thêm nhiệm vụ
TID_SPOOKYPUMPKIN,Bí ngô rùng rợn
TID_OPENGRAVE,Ngôi mộ rùng rợn
TID_ADVANCED_EVENT_TITLE_HALLOWEEN2015,Mùa Halloween!
TID_EVENT_PAMFLET_HALLOWEEN2015,Sự kiện Halloween đã đến rồi!
TID_ADVANCED_EVENT_TEXT_HALLOWEEN2015,"Mọi người ở khắp nơi đang chuẩn bị những bữa tiệc rùng rợn, vì thế hãy sẵn sàng giao các đơn hàng xe tải! Hãy hoàn thành mục tiêu sự kiện cá nhân để nhận các phần thưởng tuyệt vời. Đóng góp của bạn sẽ góp sức vào mục tiêu sự kiện toàn cầu của cộng đồng khi bạn đạt tới mốc được hiển thị bằng biểu tượng màu xanh dương bên trên. Chúc bạn Halloween vui vẻ!"
TID_ADVANCED_EVENT_NOTIFICATION_HALLOWEEN2015,Hãy xem ngay sự kiện Halloween mới với nhiều phần thưởng tuyệt vời!
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_HALLOWEEN2015,Sự kiện toàn cầu
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN2015,Xin chào <NAME>! Mọi bữa tiệc Halloween sẽ tràn ngập các món nông sản tuyệt vời. Cảm ơn mọi người đã tham gia. Chúng ta đã cùng nhau tạo nên kỳ tích này! Hãy nhận phần thưởng này thay cho lời cảm ơn vì những đóng góp của bạn!
TID_ADVANCED_EVENT_SUCCESS_TITLE_HALLOWEEN2015,Một lễ Halloween tuyệt vời!
TID_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN2015,Mọi người hẳn sẽ có bữa tiệc Halloween trên cả tuyệt vời. Cộng đồng chúng ta đã cùng nhau tạo nên lễ Halloween tuyệt nhất.
TID_DERBY_TASK_LOG_TITLE_NAME,Tên trang trại
TID_DERBY_TASK_LOG_TITLE_TASKS,Nhiệm vụ
TID_DERBY_TASK_LOG_TITLE_POINTS,Điểm
TID_DERBY_LEAGUE_INFO_TASKS,<VALUE> x Nhiệm vụ Cuộc đua ngựa
TID_DERBY_LEAGUE_INFO_THRESHOLDS,<VALUE> x Phần thưởng móng ngựa
TID_DERBY_LEAGUE_INFO_COMING_SOON,Sắp ra mắt!
TID_SPOOKYPLANT,Cây rùng rợn
TID_POPUP_RED_GEMS_PURCHASED_TITLE,Cảm ơn Hàng xóm!
TID_POPUP_RED_GEMS_PURCHASED_TEXT,Cảm ơn bạn đã ủng hộ cuộc chiến chống AIDS của (RED).\n\nBạn có muốn trang trí Cửa hàng bên đường của mình bằng Games for (RED) cho đến ngày 6 tháng Mười Hai không?
TID_DIAMOND_PACK_RED,(TÚI KIM CƯƠNG)RED
TID_POPUP_RED_GEMS_PURCHASED_YES,Có
TID_POPUP_RED_GEMS_PURCHASED_NO,Không
TID_DERBY_SCORE_SUMMARY_TITLE,Tổng kết tuần này
TID_DERBY_SCORE_SUMMARY_POINTS,Điểm trung bình/người chơi
TID_DERBY_SCORE_SUMMARY_SIZE_BONUS,Thưởng theo quy mô Cuộc đua ngựa
TID_DERBY_SCORE_SUMMARY_RANKING_BONUS,Thưởng xếp hạng
TID_DERBY_SCORE_SUMMARY_TRASHED_TASKS,Nhiệm vụ bị xóa bỏ/người chơi
TID_DERBY_SCORE_SUMMARY_TOTAL,Tổng điểm tuần này
TID_DERBY_SCORE_BREAKDOWN_TITLE,Phân tích điểm số
TID_DERBY_SCORE_BREAKDOWN_LAST_WEEK,Tuần trước
TID_DERBY_SCORE_BREAKDOWN_2_WEEKS_AGO,2 tuần trước
TID_DERBY_SCORE_BREAKDOWN_3_WEEKS_AGO,3 tuần trước
TID_DERBY_SCORE_BREAKDOWN_4_WEEKS_AGO,4 tuần trước
TID_DERBY_LEAGUE_LEADERBOARD_INFO,Thông tin
TID_EVENT_FISH_TOOLTIP,Chỉ có thể bắt loài cá này trong sự kiện đánh cá!
TID_DERBY_FINISHED,Tạm dừng
TID_ACHIEVEMENT_DERBY_LEAGUE,Người leo hạng trong Cuộc đua ngựa
TID_ACHIEVEMENT_DERBY_LEAGUE_DESCRIPTION_0,Đạt tới Giải đấu Chuyên nghiệp
TID_ACHIEVEMENT_DERBY_LEAGUE_DESCRIPTION_1,Đạt tới Giải đấu Bậc thầy
TID_ACHIEVEMENT_DERBY_LEAGUE_DESCRIPTION_2,Đạt tới Giải đấu Vô địch
TID_ACHIEVEMENT_DERBY_TOP_LEAGUE,Vô địch cuộc đua
TID_ACHIEVEMENT_DERBY_TOP_LEAGUE_DESCRIPTION,Tham gia vào <NUMBER> cuộc đua ngựa của Giải đấu Vô địch
TID_DERBY_LEAGUE_LEADERBOARD_INFO1_TITLE,Tổng kết điểm số trên bảng xếp hạng
TID_DERBY_LEAGUE_LEADERBOARD_INFO1,"4 cuộc đua ngựa vừa qua được tính vào điểm xếp hạng, bao gồm bốn thành phần:"
TID_DERBY_LEAGUE_LEADERBOARD_INFO2_TITLE,Điểm trung bình trên mỗi người chơi
TID_DERBY_LEAGUE_LEADERBOARD_INFO2,"Tổng điểm trong cuộc đua ngựa trước, chia cho số người chơi đã chọn tham gia."
TID_DERBY_LEAGUE_LEADERBOARD_INFO3_TITLE,Thưởng theo quy mô Cuộc đua ngựa
TID_DERBY_LEAGUE_LEADERBOARD_INFO3,Càng nhiều hàng xóm chọn tham gia thì phần thưởng càng lớn.
TID_DERBY_LEAGUE_LEADERBOARD_INFO4_TITLE,Thưởng xếp hạng
TID_DERBY_LEAGUE_LEADERBOARD_INFO4,Thứ hạng trong Cuộc đua ngựa của bạn càng cao thì phần thưởng càng lớn!
TID_DERBY_LEAGUE_LEADERBOARD_INFO5_TITLE,Số nhiệm vụ bị xóa bỏ trên mỗi người chơi
TID_DERBY_LEAGUE_LEADERBOARD_INFO5,"Tổng số nhiệm vụ đã xóa bỏ trong cuộc đua trước, chia cho số người chơi đã tham gia."
TID_NEIGHBORHOOD_TROPHY_UI_TITLE,Phòng Thành tích Cuộc đua ngựa của <NEIGHBORHOOD>
TID_DERBY_LEAGUE_LEADERBOARD_EMPTY,"Tại Giải đấu Vô địch, các khu dân cư được xếp trên bảng xếp hạng toàn cầu! Điểm trên bảng xếp hạng là tổng điểm trong 4 tuần vừa qua; mỗi tuần, điểm số của các khu dân cư sẽ được cập nhật. Bảng xếp hạng Giải đấu Vô địch bao gồm bốn thành phần:\n\nĐiểm trung bình trên mỗi người chơi: Tổng điểm trong cuộc đua ngựa trước đó, chia cho số người chơi đã tham gia.\n\nThưởng theo quy mô Cuộc đua ngựa: Càng nhiều người chơi tham gia thì phần thưởng càng lớn.\n\nThưởng xếp hạng:Thứ hạng trong cuộc đua ngựa của bạn càng cao thì phần thưởng càng lớn.\n\nSố nhiệm vụ bị xóa bỏ trên mỗi người chơi: Tổng số nhiệm vụ bị xóa bỏ trong cuộc đua trước, chia cho số người chơi đã tham gia.\n\nNếu một khu dân cư bị rơi xuống giải đấu thấp hơn, họ sẽ mất điểm xếp hạng."
TID_UPGRADE_MATERIALS_TUTORIAL_TITLE,Cách thức nhận vật liệu nâng cấp
TID_UPGRADE_MATERIALS_TUTORIAL_SUB_TEXT_1,Thu hoạch cây trồng bất kỳ
TID_UPGRADE_MATERIALS_TUTORIAL_SUB_TEXT_2,Thu thập sản phẩm từ vật nuôi bất kỳ
TID_UPGRADE_MATERIALS_SPECIAL_TOOLTIP,Dễ dàng thu hoạch cây trồng và sản phẩm từ vật nuôi
TID_DERBY_INFO_TITLE_6,Giải đấu Vô địch có những gì?
TID_DERBY_INFO_6,"Trong Giải đấu Vô địch, các khu dân cư được xếp trên bảng xếp hạng toàn cầu! Điểm xếp hạng là tổng điểm của 4 tuần vừa qua, bao gồm bốn thành phần:\n\nĐiểm trung bình trên mỗi người chơi: điểm số chia cho số người chơi đã tham gia.\n\nThưởng theo quy mô Cuộc đua ngựa: Càng nhiều người chơi tham gia thì phần thưởng càng lớn.\n\nThưởng xếp hạng:Thứ hạng trong cuộc đua của bạn càng cao thì phần thưởng càng lớn.\n\nSố nhiệm vụ bị xóa bỏ trên mỗi người chơi: số nhiệm vụ bị xóa bỏ, chia cho số người chơi đã tham gia.\n\nNếu một khu dân cư bị rơi xuống giải đấu thấp hơn, họ sẽ mất điểm xếp hạng."
TID_FLOATER_JOIN_NEIGHBORHOOD_TO_SEE_TROPHIES,Hãy gia nhập khu dân cư để xem phòng thành tích
TID_DERBY_LEAGUE_LEADERBOARD_TITLE,Bảng xếp hạng Giải đấu Vô địch
TID_STREAM_EVENT_DERBY_TRASH_COUNT,<NAME> đã xóa bỏ <COUNT> nhiệm vụ.
TID_DERBY_TASK_LOG_TRASHED_TASKS_TITLE,Số nhiệm vụ bị xóa trong CĐN này:
TID_DERBY_TASK_LOG_TRASHED_TASKS_AMOUNT,<AMOUNT> nhiệm vụ
TID_DERBYTROPHY_DESC,Đồ trang trí thành tích Cuộc đua ngựa
TID_DERBYTROPHY1,Cúp nhỏ
TID_DERBYTROPHY2,Cúp vừa
TID_DERBYTROPHY3,Cúp lớn
TID_CHRISTMAS_DECO_REINDEER1,Tuần lộc
TID_CHRISTMAS_DECO_REINDEER2,Tuần lộc mùa đông
TID_CHRISTMAS_DECO_REINDEER3,Tuần lộc giáng sinh
TID_CHRISTMAS_DECO_SLEIGH,Xe trượt tuyết thần kỳ
TID_NEWYEARS_DECO_TYPEWRITER,Máy đánh chữ
TID_DECO_GUITAR,Đàn guitar
TID_DECO_TUBA,Kèn Tuba
TID_DECO_SAX,Kèn Saxophone
TID_DECO_CELLO,Đàn Cello
TID_DECO_HARP,Đàn hạc
TID_DECO_ACCORDION,Phong cầm
TID_FLOORBOARD1,Lối đi màu trắng
TID_FLOORBOARD2,Lối đi màu nâu
TID_FLOORBOARD3,Lối đi màu sáng
TID_HYDRANGEAS,Hoa cẩm tú cầu màu xanh
TID_GARDENTORCH,Đuốc trong vườn
TID_LUSHFERN,Dương xỉ xanh tốt
TID_ADVANCED_EVENT_TEXT_CHRISTMAS2015,"Mùa Giáng sinh này, hãy mang hạnh phúc đến cho mọi người và hoàn thành các đơn hàng thuyền! Hãy hoàn thành càng nhiều chuyến hàng bằng thuyền trên sông càng tốt trước khi hết thời gian! Hãy đạt mục tiêu cá nhân của bạn để giành những phần thưởng tuyệt vời. Kết quả của bạn cũng sẽ đóng góp vào mục tiêu toàn cầu của cộng đồng. Hãy đạt mục tiêu toàn cầu cùng các nông dân trên toàn thế giới và tất cả mọi người đều sẽ được thưởng."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_CHRISTMAS2015,"Xin chào <NAME>! Một lượng hàng đáng kinh ngạc đã được gửi đi khắp thế giới, mang lại mùa Giáng sinh hạnh phúc cho tất cả mọi người! Cảm ơn tất cả mọi người đã tham gia sự kiện toàn cầu. Chúng ta đã cùng nhau tạo nên kỳ tích này! Hãy nhận phần thưởng này thay cho lời cảm ơn vì những đóng góp của bạn!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_CHRISTMAS2015,Giáng sinh tuyệt vời!
TID_ADVANCED_EVENT_TEXT_NEWYEAR2015,Năm mới đã đến rồi! Hãy tận hưởng thời gian vui vẻ và câu cá để bắt đầu năm mới. Nhiều loài cá hiếm theo mùa với kích thước khổng lồ cũng đã được phát hiện. Bạn có thể bắt tất cả chúng để hoàn thành bộ sưu tập của mình không? Hãy đạt mục tiêu cá nhân của bạn để giành những phần thưởng tuyệt vời. Kết quả của bạn cũng sẽ đóng góp vào mục tiêu toàn cầu của cộng đồng. Hãy đạt mục tiêu toàn cầu cùng các nông dân trên toàn thế giới và tất cả mọi người đều sẽ được thưởng.
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_NEWYEAR2015,Xin chào <NAME>! Mọi người đã có thời gian câu cá tuyệt vời trên hồ để chào đón Năm mới. Cảm ơn tất cả mọi người đã tham gia sự kiện toàn cầu. Chúng ta đã cùng nhau tạo nên kỳ tích này! Hãy nhận phần thưởng này thay cho lời cảm ơn vì những đóng góp của bạn!
TID_ADVANCED_EVENT_TITLE_NEWYEAR2015,Năm mới đã đến rồi!
TID_ADVANCED_EVENT_SUCCESS_TITLE_NEWYEAR2015,Chúc mừng năm mới!
TID_ADVANCED_EVENT_TITLE_VALENTINES2016,Sắp đến Lễ tình nhân rồi!
TID_EVENT_PAMFLET_VALENTINES2016,Sự kiện Lễ tình nhân đã đến rồi!
TID_ADVANCED_EVENT_TEXT_VALENTINES2016,Hãy giúp các đôi uyên ương chuẩn bị cho Lễ tình nhân bằng cách gửi đến họ thật nhiều xe tải hàng! Hãy đóng góp càng nhiều càng tốt trước khi hết thời gian! Hãy đạt mục tiêu cá nhân của bạn để giành những phần thưởng tuyệt vời. Kết quả của bạn cũng sẽ đóng góp vào mục tiêu toàn cầu của cộng đồng. Hãy đạt mục tiêu toàn cầu cùng các nông dân trên toàn thế giới và tất cả mọi người đều sẽ được thưởng.
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_VALENTINES2016,Xin chào <NAME>! Những sản phẩm do bạn sản xuất bằng tình yêu thương đã khiến các cặp đôi rất hạnh phúc. Tình yêu thực sự luôn ở quanh ta! Cảm ơn tất cả mọi người đã tham gia sự kiện toàn cầu. Chúng ta đã cùng nhau tạo nên kỳ tích này! Hãy nhận phần thưởng này thay cho lời cảm ơn vì những đóng góp của bạn!
TID_ADVANCED_EVENT_TITLE_EASTER2016,Lễ Phục sinh sắp đến
TID_ADVANCED_EVENT_TEXT_EASTER2016,"Sắp đến lễ Phục sinh rồi! Còn gì tốt hơn là một dịp cuối tuần vui vẻ, thoải mái bên hồ với chiếc cần câu? Tất nhiên là một bữa cá ngon lành mừng lễ Phục sinh rồi! Bên cạnh đó, nhiều loài cá hiếm theo mùa với kích thước khổng lồ cũng đã được phát hiện. Bạn có thể bắt tất cả chúng để hoàn thành bộ sưu tập của mình không? Hãy đạt mục tiêu cá nhân của bạn để giành những phần thưởng tuyệt vời. Kết quả của bạn cũng sẽ đóng góp vào mục tiêu toàn cầu của cộng đồng. Hãy đạt mục tiêu toàn cầu cùng các nông dân trên toàn thế giới và tất cả mọi người đều sẽ được thưởng."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_EASTER2016,Xin chào <NAME>! Thật là cơ hội tuyệt vời để nghỉ ngơi và thu hoạch cá cho lễ Phục sinh sắp tới. Cảm ơn tất cả mọi người đã tham gia sự kiện toàn cầu. Chúng ta đã cùng nhau tạo nên kỳ tích này! Hãy nhận phần thưởng này thay cho lời cảm ơn vì những đóng góp của bạn!
