TID,RU
TID_CARETAKER_SETTINGS_OPTION_3_TOOLTIP,"Роза делает корм только для тех, чью продукцию нужно собрать. А остальных животных не кормит."
TID_FLOATER_INGAME_FRIEND_ACCEPTED_FRIEND_REQUEST,Игрок <PARAM> принял запрос в друзья
TID_GINGERBREADHOUSE,Пряничный домик
TID_GINGERBREADMAN,Пряничный мальчик
TID_GINGERBREADWOMAN,Пряничная девочка
TID_CANDYBENCH,Леденцовая скамейка
TID_WINTERLANTERN,Зимний фонарик
TID_WINTERARCH,Зимняя арка
TID_CNY_FENCE,Китайский забор
TID_CNY_GATE,Китайские ворота
TID_CNY_ROOSTER,Статуя петуха
TID_FIREWORKSBARREL,Фейерверки
TID_EVENT_PAMFLET_CHINESENEWYEAR2017,Китайский Новый год!
TID_ADVANCED_EVENT_TEXT_CHINESENEWYEAR2017,"Пришел китайский Новый год, пусть он будет счастливым! Ты даже можешь увидеть фейерверки в рыбной зоне, если повезет. Выполни как можно больше заказов для грузовика за отведенное время. Достигай личных целей и получай вознаграждение. Кроме того, так ты работаешь на общее благо - помогаешь сообществу достичь глобальной цели. Объединяйся с фермерами со всего мира, и все будут вознаграждены."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_CHINESENEWYEAR2017,"Привет, <NAME>! Мы порадовали всех доставками на грузовике! Хорошее начало года петуха! Спасибо за участие в глобальном событии. Мы все большие молодцы! Прими эту награду в благодарность за труд!"
TID_ADVANCED_EVENT_SUCCESS_TITLE_CHINESENEWYEAR2017,Счастливого Нового года петуха!
TID_ADVANCED_EVENT_SUCCESS_TEXT_CHINESENEWYEAR2017,"Работая вместе, мы доставили на грузовиках невероятное количество заказов. Это потрясающее начало года петуха!"
TID_ADVANCED_EVENT_TITLE_NEWYEAR2017,Почти наступил Новый год!
TID_ADVANCED_EVENT_TEXT_NEWYEAR2017,"Год подходит к концу, и 2017 вот-вот начнется! Давай отправим пароходом последние заказы! Если повезет, ты даже можешь увидеть фейерверк в рыболовной зоне! Выполни как можно больше заказов для парохода за отведенное время. Достигай личных целей и получай вознаграждение. Кроме того, так ты работаешь на общее благо - помогаешь сообществу достичь глобальной цели. Объединяйся с фермерами со всего мира, и все будут вознаграждены."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_NEWYEAR2017,"Привет, <NAME>! Какое потрясающее завершение 2016 года, сколько товаров доставлено пароходом! Спасибо за участие в глобальном событии. Мы сделали это вместе! Прими вознаграждение за свой труд."
TID_ADVANCED_EVENT_TEXT_NEWYEAR2017_ALT,"2016 год подходит к концу, поприветствуй новый 2017 год! Отправим пароходом последние заказы! Если повезет, ты увидишь фейерверк в рыболовной зоне! Выполни как можно больше заказов для парохода за отведенное время. Достигай личных целей и получай вознаграждение. Ты работаешь на общее благо - помогаешь сообществу достичь глобальной цели. Объединяйся с фермерами со всего мира, и все будут вознаграждены."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_NEWYEAR2017_ALT,"Привет, <NAME>! Какое потрясающее начало 2017 года, сколько товаров доставлено пароходом! Спасибо за участие в глобальном событии. Мы сделали это вместе! Прими вознаграждение за свой труд."
TID_ADVANCED_EVENT_TEXT_CHRISTMAS2016,"Праздничный сезон! Давай соберем всех родных и близких и как следует порыбачим! Говорят, недавно тут видели рыбу гигантских размеров. Сможешь поймать ее и пополнить свою коллекцию? Достигни личных целей и получай вознаграждение. Кроме того, так ты работаешь на общее благо - помогаешь сообществу достичь глобальной цели. Объединяйся с фермерами всего мира, и все будут вознаграждены."
TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_CHRISTMAS2016,"Привет, <NAME>! В праздники все отлично порыбачили на озере! Спасибо за участие в глобальном событии. Мы сделали это вместе! Прими вознаграждение за свой труд."
TID_CANNOT_FOLLOW_FARM,Этот игрок заблокировал тебя
TID_ROADSIDE_SHOP_NEW_SALE_HELPERS_TITLE,Товары помощников с фермы
TID_ROADSIDE_SHOP_NEW_SALE_HELPERS_TAB_EMPTY,Здесь показаны товары из хранилища помощников с фермы
TID_FLOATER_INGAME_FRIEND_REQUEST_SENT,Приглашение в друзья отправлено!
TID_FRIEND_BOOK_TAB_SOCIAL_MEDIA_NO_FRIENDS,Здесь показаны твои друзья из соц. сетей!
TID_FRIEND_BOOK_FOLLOWING_FARM_REMOVED,Подписка на ферму удалена
TID_FRIEND_BOOK_FOLLOWER_FARM_REMOVED,Подписчик удален
TID_FRIEND_BOOK_SETTINGS_TITLE,Настройки книги друзей
TID_FRIEND_BOOK_FOLLOWER_FARM_BLOCKED,Подписчик удален и заблокирован
TID_FRIEND_BOOK_TAB_GAME_NO_FRIENDS,Добавить друзей в игре!
TID_FRIEND_BOOK_NO_REQUESTS,В данный момент неотвеченных запросов нет
TID_FRIEND_BOOK_INGAME_FRIENDS,Фермы друзей
TID_FRIEND_BOOK_SOCIAL_FRIENDS,Друзья из соц. сетей
TID_FRIEND_BOOK_FRIEND_BLOCKED_UNTIL,Заблокирован на <TIME>
TID_CNY_DECO_DESC,Украшение к китайскому Новому году.
TID_FRIEND_BOOK_RECEIVE_REQUESTS_DESC,"Если поставить здесь галочку, ты сможешь получать приглашения в друзья от любых других игроков Hay Day.\n\nЕсли не поставить здесь галочку, другие игроки не смогут отправлять тебе приглашения в друзья. Но ты по-прежнему сможешь отправлять приглашения в друзья другим игрокам."
TID_STREAM_SENDER_NEIGHBORHOOD_DERBY_SETTINGS_CHANGED,Настройки скачек изменены
TID_INBOX_NEIGHBORHOOD_DERBY_OPT_OUT_BY_LEADER,"<SENDER> отстраняет тебя от следующих скачек. Если хочешь в них поучаствовать, запишись на стенде до начала скачек."
TID_NEIGHBORHOOD_MENU_DERBY_OPTOUT_BUTTON,Неучастие в скачках
TID_DERBY_LEADER_OPTED_OUT_MEMBER,<PARAM> не будет участвовать в следующих скачках
TID_NEIGHBORHOOD_COMBO_TASK_PROGRESS_TEXT,<NUMBER> %
TID_BOOSTERS_TITLE,Склад ускорителей
TID_BOOSTER_PERCENTAGE_FASTER,-<PARAM> %
TID_BOOSTER_PERCENTAGE_MORE,+<PARAM> %
TID_BOOSTER_AMOUNT_EASIER,-<PARAM>
TID_BOOSTER_MORE,+<PARAM>
TID_CONFIRM_POPUP_ACTIVATE_BOOSTER_TITLE,Активировать ускоритель?
TID_CONFIRM_POPUP_ACTIVATE_SUPER_BOOSTER_TITLE,Активировать суперускоритель?
TID_CONFIRM_POPUP_ACTIVATE_BOOSTER_TEXT,<PARAM>: активировать?
TID_CONFIRM_POPUP_ACTIVATE_BOOSTER_WITH_DIAMONDS_TEXT,Хочешь активировать ускоритель «<PARAM>» за алмазы?
TID_CONFIRM_POPUP_REPLACE_BOOSTER_TEXT,Удалить ускоритель и использовать вместо него ускоритель «<PARAM>»?
TID_CONFIRM_POPUP_REPLACE_BOOSTER_WITH_DIAMONDS_TEXT,Удалить ускоритель и использовать вместо него за алмазы ускоритель «<PARAM>»?
TID_CONFIRM_POPUP_ACTIVATE_BOOSTER_BUTTON_CONFIRM,Активировать
TID_CONFIRM_POPUP_ACTIVATE_BOOSTER_BUTTON_CANCEL,ОТМЕНА
TID_FLOATER_BOOSTER_ACTIVATED,Ускоритель «<PARAM>» теперь работает!
TID_FLOATER_BOOSTER_ACTIVATION_FAILED,"Не удалось активировать этот ускоритель, так как используется другой!"
TID_FLOATER_DECO_UNLOCKED_WITH_EXPANSION,"Открой расширение, чтобы получить украшение"
TID_FLOATER_BOOSTER_EXPIRED,Действие ускорителя «<PARAM>» завершено!
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_HIRE_TOM,"Найми Тома, прежде чем активировать ускоритель!"
TID_CONFIRM_POPUP_BOOSTER_STORAGE_FULL_TITLE,Склад ускорителей заполнен!
TID_CONFIRM_POPUP_BOOSTER_STORAGE_FULL_BUTTON_DISCARD,Удалить
TID_CONFIRM_POPUP_BOOSTER_STORAGE_FULL_BUTTON_SWAP,Заменить
TID_CONFIRM_POPUP_BOOSTER_STORAGE_FULL_BUTTON_CONFIRM,Оставить ускоритель
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_ANOTHER_BUILDING_BOOSTER_ACTIVE,"Активация не удалась, используется ускоритель «<PARAM>»!"
TID_BOOSTER_SLOT_ACTIVE_TITLE,Используется
TID_BOOSTER_SLOT_STORAGE_TITLE,Склад <COUNT> из <MAX>
TID_CONFIRM_POPUP_DISCARD_BOOSTER_TITLE,Удалить ускоритель?
TID_CONFIRM_POPUP_DISCARD_BOOSTER_TEXT,<PARAM>: удалить? Эффекты ускорителя пропадут!
TID_CONFIRM_POPUP_DISCARD_BOOSTER_BUTTON_CANCEL,Отмена
TID_CONFIRM_POPUP_DISCARD_BOOSTER_BUTTON_DISCARD,Удалить
TID_FLOATER_BOOSTER_DISCARDED,Ускоритель «<PARAM>» удален!
TID_CONFIRM_POPUP_SWAP_BOOSTER_TITLE,Замена на ускоритель со склада
TID_CONFIRM_POPUP_SWAP_BOOSTER_BUTTON_SWAP,Заменить
TID_CONFIRM_POPUP_SWAP_BOOSTER_TEXT_OLD_BOOSTER,Ускоритель будет удален
TID_CONFIRM_POPUP_SWAP_BOOSTER_TEXT_NEW_BOOSTER,Ускоритель будет сохранен
TID_PENDING_BOOSTERS_TITLE,Склад ускорителей заполнен
TID_BOOSTER_SLOT_PENDING_TITLE,Выбрать
TID_SWAP_BOOSTER_TITLE,Замена ускорителя
TID_BOOSTER_FASTER_PRODUCTION,Ускоренное производство
TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,"<PARAM1>, <PARAM2> и <PARAM3> будут работать быстрее на <NUMBER> % в течение <TIME> ч."
TID_BOOSTER_FASTER_CROPS,Ускорение роста растений
TID_BOOSTER_FASTER_TOM,Уменьшение перерывов Тома
TID_BOOSTER_FASTER_BOAT,Ускорение прибытия парохода
TID_BOOSTER_FASTER_BUSHES,Ускорение созревания ягод
TID_BOOSTER_FASTER_TREES,Ускорение созревания плодов
TID_BOOSTER_MORE_XP,Дополнительный опыт
TID_BOOSTER_FREE_TOM,Нанять Тома бесплатно
TID_BOOSTER_FREE_ROSE,Нанять Розу бесплатно
TID_BOOSTER_FREE_ERNEST,Нанять Эрнеста бесплатно
TID_BOOSTER_EASIER_BOAT,Заполнить ящики на пароходе
TID_BOOSTER_DESCRIPTION_FASTER_CROPS,"<PARAM1>, <PARAM2> и <PARAM3> будут расти на <NUMBER> % быстрее в течение\n<TIME> ч."
TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,Том будет спать меньше на <NUMBER> % в течение <TIME> ч.
TID_BOOSTER_DESCRIPTION_FASTER_BOAT,Пароход будет приходить на <NUMBER> % быстрее в течение <TIME> ч.
TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,Урожай на кустах будет появляться на <NUMBER> % быстрее в течение <TIME> ч.
TID_BOOSTER_DESCRIPTION_FASTER_TREES,Урожай на деревьях будет появляться на <NUMBER> % быстрее в течение\n<TIME> ч.
TID_BOOSTER_DESCRIPTION_MORE_XP,Все действия в игре будут приносить на <NUMBER> % больше опыта в течение <TIME> ч.
TID_BOOSTER_DESCRIPTION_FREE_TOM,"Найми Тома бесплатно на <TIME> ч. Если он уже работает, то ко времени его работы добавится <TIME> ч."
TID_BOOSTER_DESCRIPTION_FREE_ROSE,"Найми Розу бесплатно на <TIME> ч. Если она уже работает, то ко времени ее работы добавится <TIME> ч."
TID_BOOSTER_DESCRIPTION_FREE_ERNEST,"Найми Эрнеста бесплатно на <TIME> ч. Если он уже работает, то ко времени его работы добавится <TIME> ч."
TID_BOOSTER_DESCRIPTION_EASIER_BOAT_SINGLE,<NUMBER> ящик для каждого парохода будет собираться автоматически в течение <TIME> ч.
TID_TEST_BOOSTER_FASTER_CROPS,Ускорение роста растений
TID_TEST_BOOSTER_FASTER_FEED_MILL,Ускорение дробилки
TID_TEST_BOOSTER_FASTER_BAKERY,Ускорение пекарни
TID_TEST_BOOSTER_FASTER_TOM,Уменьшение перерывов Тома
TID_TEST_BOOSTER_FASTER_BOAT,Ускорение прибытия парохода
TID_TEST_BOOSTER_FASTER_BUSHES,Ускорение созревания ягод
TID_TEST_BOOSTER_FASTER_TREES,Ускорение созревания плодов
TID_TEST_BOOSTER_MORE_XP,Дополнительный опыт
TID_TEST_BOOSTER_FREE_TOM,Нанять Тома бесплатно
TID_TEST_BOOSTER_FREE_ROSE,Нанять Розу бесплатно
TID_TEST_BOOSTER_FREE_ERNEST,Нанять Эрнеста бесплатно
TID_TEST_BOOSTER_EASIER_BOAT,Заполнить ящики на пароходе
TID_BOOSTER_DESCRIPTION_EASIER_BOAT_MULTIPLE,Ящики (<NUMBER>) для каждого парохода будут собираться автоматически в течение <TIME> ч.
TID_SPECIAL_EXPANSION_PERMIT,Разрешение на расширение
TID_SPECIAL_EXPANSION_PERMIT_DESCRIPTION,"Можно выиграть на скачках, найти в загадочных ящиках или на колесе фортуны."
TID_BOOSTER_INFO_1,"С ускорителями игра станет еще динамичнее! Они могут ускорить рост растений, производство и даже наполнение ящиков для парохода! Коснись ускорителя, чтобы узнать о нем подробнее.\n\nПолучив ускорители, ты можешь активировать их в любой момент. Они будут работать только ограниченное время, так что постарайся использовать их преимущества максимально!"
TID_BOOSTER_INFO_2,"У тебя может быть один активный ускоритель и три запасных на складе. Дополнительные ускорители можно активировать за алмазы. Если их наберется слишком много, ты можешь удалить ускоритель, заменить его на другой или оставить его за алмазы.\n\nПОМНИ: дополнительную ячейку для ускорителя можно получить только на время."
TID_BOOSTER_INFO_3,"Активировать два одинаковых ускорителя одновременно нельзя. Если активируешь такой же ускоритель, то предыдущий просто пропадет.\n\nЕсли тебе не нравится ускоритель, его всегда можно удалить. При удалении активного ускорителя его эффект пропадает."
TID_BOOSTER_INFO_4,"Если часть фермы использует ускоритель, ты увидишь рядом его иконку.\n\nУскорители можно получить несколькими способами, включая колесо фортуны, загадочные ящики и скачки. Чем выше лига в скачках, тем больше шансов получить хороший ускоритель!"
TID_BOOSTER_TUTORIAL_1,На ферме появилась новая интересная штука - ускорители!\n\nБлагодаря им игра стала еще динамичнее! Давай покажу!
TID_BOOSTER_TUTORIAL_2,"Существует множество ускорителей, временно улучшающих разные аспекты игры!\n\nВ меню ускорителей можно найти кнопку информации и узнать о них подробнее. Загляни туда, чтобы получить больше информации!"
TID_BOOSTER_TUTORIAL_3,Благодаря ускорителю Том будет работать еще три часа бесплатно!
TID_BLACKBUNNY,Черный кролик
TID_DECO_PARTY_BANQUET,Банкетный стол
TID_DECO_BALLOON_BENCH,Скамейка-шарик
TID_DECO_BARREL_TABLE,Стол-бочка
TID_DECO_WOODEN_SIGN,Деревянный знак
TID_DECO_WHITE_CHAIR,Белый стул
TID_DECO_SWING_TREE,Дерево с качелями
TID_DECO_FLOWER_BUCKET1,Ведро синих цветов
TID_DECO_FLOWER_BUCKET2,Ведро желтых цветов
TID_DECO_PURPLE_TREE,Фиолетовое дерево
TID_DECO_VIBRANT_TREE,Светлое дерево
TID_DECO_RED_TREE,Красное дерево
TID_DECO_ORANGE_TREE,Оранжевое дерево
TID_DECO_YELLOW_TREE,Желтое дерево
TID_DECO_DESC_UNIQUE,Специальное украшение.
TID_FLOATER_BOOSTER_FREE_TOM_ACTIVATED,Том будет работать еще <TIME> ч.
TID_FLOATER_BOOSTER_FREE_HELPER_ACTIVATED,<NAME> будет работать еще <TIME> ч.
TID_SPECIAL_EXPANSIONS_COMING_SOON,Особые расширения открываются на <LEVEL>-м уровне.
TID_BOOSTER_TUTORIAL_1a,"Коснитесь склада ускорителей, чтобы активировать ускоритель!"
TID_BOOSTER_TUTORIAL_INFO_TITLE,Информация об ускорителе
TID_BOOSTER_TUTORIAL_INFO_1_1,"С ускорителями игра станет еще динамичнее! Они могут ускорить рост растений, производство и даже наполнение ящиков для парохода!"
TID_BOOSTER_TUTORIAL_INFO_1_2,"Коснись ускорителя, чтобы узнать о нем подробнее."
TID_BOOSTER_TUTORIAL_INFO_1_3,"Получив ускорители, ты можешь активировать их в любой момент. Они будут работать только ограниченное время, так что постарайся использовать их преимущества максимально!"
TID_BOOSTER_TUTORIAL_INFO_2_1,У тебя может быть один рабочий ускоритель и три запасных на складе.
TID_BOOSTER_TUTORIAL_INFO_2_2,Дополнительные ускорители можно активировать за алмазы.
TID_BOOSTER_TUTORIAL_INFO_3_1,"Если их наберется слишком много, ты можешь удалить ускоритель, заменить его на другой или оставить его за алмазы."
TID_BOOSTER_TUTORIAL_INFO_3_2,ПОМНИ: дополнительную ячейку для ускорителя можно арендовать только на определенное время.
TID_BOOSTER_TUTORIAL_INFO_4_1,"Активировать два одинаковых ускорителя одновременно нельзя. Если ты хочешь активировать другой ускоритель того же типа, удали действующий ускоритель."
TID_BOOSTER_TUTORIAL_INFO_4_2,"Если тебе не нравится ускоритель, его всегда можно удалить. При удалении активного ускорителя его эффект пропадает."
TID_BOOSTER_TUTORIAL_INFO_5_1,"Если часть фермы использует ускоритель, ты увидишь рядом его иконку."
TID_BOOSTER_TUTORIAL_INFO_5_2,"Ускорители можно получить несколькими способами, включая колесо фортуны, загадочные ящики и скачки."
TID_BOOSTER_TUTORIAL_INFO_5_3,"Чем выше лига в скачках, тем больше шансов получить хороший ускоритель!"
TID_BOOSTER_TUTORIAL_INFO_ACTIVATE_DIAMONDS,5
TID_BOOSTER_TUTORIAL_INFO_5_PROGRESS_ITEM,Индиго
TID_BOOSTER_TUTORIAL_INFO_5_PROGRESS_TIME,3329
TID_CONFIRM_POPUP_ACTIVATE_BOOSTER_ANOTHER_BOOSTER_ACTIVE,"У тебя уже есть действующий ускоритель того же типа. Удали его, чтобы активировать новый."
TID_DECO_EASTER_FLOWERS,Вазон с кроликом
TID_DECO_FESTIVE_TREE,Праздничное дерево
TID_DECO_SPARKLING_TREE,Сверкающее дерево
TID_GIFT_BOOSTER1_TITLE,Пакет ускорителей
TID_GIFT_BOOSTER2_TITLE,Золотой пакет ускорителей
TID_COMBO_TASKS_ORDER_TITLE,Задание для помощников
TID_COMBO_TASKS_PICNIC_TITLE,Задание для пикника
TID_COMBO_TASKS_BREAKFAST_TITLE,Задание для завтрака
TID_COMBO_TASKS_PETS_TITLE,Задание для домашних животных
TID_COMBO_TASKS_BUDDIES_TITLE,Задание для друзей
TID_COMBO_TASKS_ANGLER_TITLE,Рыболовное задание
TID_COMBO_TASKS_BRUNCH_TITLE,Задание для бранча
TID_COMBO_TASKS_CHILLY_TITLE,Прохладное задание
TID_COMBO_TASKS_SWEETS_TITLE,Сладкое задание
TID_COMBO_TASKS_WARM_TITLE,Теплое задание
TID_COMBO_TASKS_SPA_TITLE,Задание для спа-салона
TID_COMBO_TASKS_CORNUCOPIA_TITLE,Изобильное задание
TID_COMBO_TASKS_TOUGH_TITLE,Тяжелое задание
TID_COMBO_TASKS_TOWNIES_TITLE,Задание для горожан
TID_COMBO_TASKS_CRAFTS_TITLE,Ремесленное задание
TID_COMBO_TASKS_DAYTRIP_TITLE,Задание для поездки
TID_COMBO_TASKS_MARKET_TITLE,Рыночное задание
TID_COMBO_TASKS_VEGAN_TITLE,Вегетарианское задание
TID_COMBO_TASKS_MUSCLES_TITLE,Силовое задание
TID_COMBO_TASKS_NAME,Комбинации заданий
TID_BOOSTER_TUTORIAL_2_2,"Ускорители можно получить в награду несколькими способами, в том числе на колесе фортуны и скачках, а также из загадочных ящиков."
TID_BOOSTERS_COMING_SOON,Ускорители разблокируются на <LEVEL>-м уровне
TID_FEATURE_BOOSTERS,Ускорители
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_REPAIR_DOCS,"Почини пристань, прежде чем активировать ускоритель!"
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_LOCKED,Для активации ускорителя требуется <LEVEL>-й уровень и <PARAM>!
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_MISSING_BUILDING,"Построй одно из производственных зданий, прежде чем активировать ускоритель!"
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_MISSING_ONE_BUILDING,"Построй производственное здание, прежде чем активировать этот ускоритель!"
TID_FLOATER_BOOSTER_ACTIVATION_FAILED_BOOSTER_LOCKED,"Достигни <LEVEL>-го уровня, чтобы активировать ускоритель!"
TID_FEATURE_SPECIAL_EXPANSIONS,Особые расширения
TID_PUZZLE_PIECE_1,Кусок головоломки
TID_PUZZLE_PIECE_1_DESCRIPTION,"Получи на скачках, кораблях или из загадочных ящиков."
TID_ELEPHANT_HOUSE,Дом для слонов
TID_ELEPHANT_HOUSE_SHOP_DESCRIPTION,Жилище для <CAPACITY> слонов.
TID_ELEPHANT1,Серый слон
TID_ELEPHANT1_DESCRIPTION,"Накорми, чтобы получить очки."
TID_FLOATER_SANCTUARY_ANIMAL_HUNGRY,Корми своих питомцев из заповедника в их домике
TID_SANCTUARY_DECO_UNLOCK_TEXT,<ANIMAL>: нужно открыть в заповеднике.
TID_ELEPHANT2,Коричневый слон
TID_ELEPHANT2_DESCRIPTION,"Накорми, чтобы получить очки."
TID_HIPPO1,Коричневый бегемот
TID_HIPPO1_DESCRIPTION,"Накорми, чтобы получить очки."
TID_HIPPO2,Серый бегемот
TID_HIPPO2_DESCRIPTION,"Накорми, чтобы получить очки."
TID_GIRAFFE1,Бежевый жираф
TID_GIRAFFE1_DESCRIPTION,"Накорми, чтобы получить очки."
TID_GIRAFFE2,Желтый жираф
TID_GIRAFFE2_DESCRIPTION,"Накорми, чтобы получить очки."
TID_HIPPO_HOUSE,Дом для бегемотов
TID_HIPPO_HOUSE_SHOP_DESCRIPTION,Жилище для <CAPACITY> бегемотов.
TID_GIRAFFE_HOUSE,Дом для жирафов
TID_GIRAFFE_HOUSE_SHOP_DESCRIPTION,Жилище для <CAPACITY> жирафов.
TID_FLOATER_SANCTUARY_ANIMAL_HABITAT_NEEDED,Сначала построй домик для животного!
TID_FLOATER_TYPE_SANCTUARY_ANIMAL_HABITAT_FULL,Все домики для животных переполнены!
TID_REPAIR_SANCTUARY_BOOKSTAND_TEXT,Почини книжный киоск заповедника
TID_REPAIR_SANCTUARY_BOOKSTAND_TITLE,Починить книжный киоск заповедника?
TID_REPAIR_SANCTUARY_BOOKSTAND_YES,Начать ремонт
TID_FLOATER_INVALID_OBJECT_POSITION_REPAIR_SANCTUARY_BOOK,"Чтобы установить объект в заповеднике, нужно сначала починить книжный киоск!"
TID_FLOATER_INVALID_OBJECT_POSITION_CANNOT_PLACE_IN_SANCTUARY,Этот объект нельзя разместить в заповеднике.
TID_FLOATER_INVALID_OBJECT_POSITION_CANNOT_PLACE_IN_DECO_EVENT,Этот объект нельзя использовать в конкурсе проектов.
TID_FLOATER_INVALID_OBJECT_POSITION_PLACE_ONLY_IN_SANCTUARY,Этот объект можно разместить только в заповеднике.
TID_FLOATER_SANCTUARY_NATURAL_OBJECTS_COMING_SOON,"Почини книжный киоск заповедника, чтобы расчистить эту территорию!"
TID_SANCTUARY_BOOKSTAND,Книжный киоск заповедника
TID_NEWS_TODAY,Сегодня
TID_NEWS_YESTERDAY,Вчера
TID_NEWS_THIS_WEEK,На этой неделе
TID_NEWS_LAST_WEEK,На прошлой неделе
TID_NEWS_OLDER,Ранее
TID_SANCTUARY_BOOK_LOCKED_ANIMAL,Недоступно
TID_SANCTUARY_BOOK_LOCKED_ANIMAL_DESCRIPTION,Откроется после появления первого животного того же вида.
TID_BOAT_SPECIAL_REWARD_TOOLTIP,"Заверши доставку пароходом, чтобы получить кусок головоломки."
TID_SHOP_UNLOCK_ANIMAL_EXPANSION,"Открой соседние расширения, чтобы получить доступ к книжному киоску заповедника."
TID_SHOP_REPAIR_BOOKSTAND,Почини книжный киоск заповедника
TID_SHOP_COMPLETE_ANIMAL_PUZZLE,<ANIMAL>: собери куски головоломки для получения.
TID_UPDATE_NOTIFICATION_IAP_OFFERS_DECORATIONS,Доступны специальные наборы алмазов с эксклюзивными украшениями!
TID_UPDATE_NOTIFICATION_IAP_OFFERS_BOOSTERS,Доступны специальные наборы алмазов с ценными ускорителями!
TID_PASSENGER_REWARD_ANIMAL_GREETING1,Спасибо! С нетерпением жду экскурсии по заповеднику.
TID_PASSENGER_REWARD_ANIMAL_GREETING2,У тебя прекрасный город! И даже есть заповедник? Я обязательно на него посмотрю!
TID_PASSENGER_REWARD_ANIMAL_GREETING3,Спасибо. Пойду-ка посмотрю на животных перед отъездом!
TID_PASSENGER_REWARD_ANIMAL_GREETING4,"Этот город просто прекрасен. И, кажется, я вижу там животных? Обязательно на них посмотрю!"
TID_PASSENGER_REWARD_ANIMAL_GREETING5,Спасибо! Пора навестить этих симпатяг в заповеднике.
TID_SANCTUARY_ANIMAL_COMPLETE,<ANIMAL>: головоломка собрана!
TID_HERBIVORE_FOOD,Охапка пшеницы
TID_TOWN_HALL_PASSENGER_STATE_WALK_TO_SANCTUARY,Идет в заповедник
TID_TOWN_HALL_PASSENGER_STATE_WAITING_AT_SANCTUARY,В заповеднике
TID_DECO_BLUECAKE,Синий торт
TID_SANCTUARY_BOOK_STICKER_FIRST_ANIMAL,<HABITAT>: построй для получения этого животного.
TID_SANCTUARY_BOOK_STICKER_OTHER_ANIMAL,<HABITAT>: улучши для получения этого животного.
TID_FLOATER_SANCTUARY_ANIMAL_HABITAT_MAX_RANK,<PARAM> уже на макс. уровне!
TID_UPGRADE_SANCTUARY_ANIMAL_HABITAT_YES,Улучшить
TID_UPGRADE_SANCTUARY_ANIMAL_HABITAT_TITLE,Улучшить дом животного?
TID_UPGRADE_SANCTUARY_ANIMAL_HABITAT_TEXT,"Улучши, чтобы получить больше животных. Чем их больше, тем веселее им будет!"
TID_FLOATER_COMPLETE_NEXT_ANIMAL_REQUIRED,<PARAM>: собери куски головоломки для его улучшения и получи следующее животное!
TID_BOAT_SPECIAL_REWARD,Дополнительные награды
TID_DERBY_INFO_TITLE_7,Особые правила скачек
TID_DERBY_INFO_7,Сейчас на скачках особые правила не действуют.
TID_SANCTUARY_VISITOR1,Какие они большие!
TID_SANCTUARY_VISITOR2,Первый раз такое вижу!
TID_SANCTUARY_VISITOR3,Ого! Ничего себе!
TID_SANCTUARY_VISITOR4,Какие они смешные!
TID_SANCTUARY_VISITOR5,Какая симпатичная мордашка!
TID_SANCTUARY_VISITOR_DROPOFF1,"Вот, держи подарок!"
TID_SANCTUARY_VISITOR_DROPOFF2,Вот тебе подарок!
TID_SANCTUARY_VISITOR_DROPOFF3,Огромное спасибо!
TID_SANCTUARY_VISITOR_DROPOFF4,Мне все очень понравилось!
TID_SANCTUARY_VISITOR_DROPOFF5,"Надеюсь, тебе понравится это!"
TID_BOOSTER_PACK_1,Набор ускорителей 1
TID_BOOSTER_PACK_2,Набор ускорителей 2
TID_BOOSTER_PACK_3,Набор ускорителей 3
TID_SANCTUARY_TUTORIAL_1,Смотри-ка - старый заповедник! Почини эту платформу. Попробуем превратить его в прекрасный дом для различных животных!
TID_SANCTUARY_TUTORIAL_2,"Ух ты, какая ухоженная территория! Она подойдет нуждающимся в новом доме животным."
TID_SANCTUARY_TUTORIAL_3,Давай-ка посмотрим старую книгу учета.
TID_SANCTUARY_TUTORIAL_4,Построй доступный тебе дом для животных в заповеднике.
TID_SANCTUARY_TUTORIAL_5,Прекрасно!
TID_SANCTUARY_TUTORIAL_6,"Еду для животных можно производить на ферме с помощью дробилки. Заботься о них, чтобы получить опыт и прочие мелочи!"
TID_SANCTUARY_TUTORIAL_7,"Гости города любят смотреть на животных. Если они увидят свое любимое животное, они оставят для тебя награды."
TID_SANCTUARY_TUTORIAL_8,"Чтобы получить новых животных, собирай куски головоломки, которые можно получить на скачках, в Farm Pass, в событиях, из загадочных ящиков и т. д. Наслаждайся своим собственным уголком дикой природы!"
TID_SANCTUARY_COMING_SOON,"Открой прилегающие зоны, чтобы получить доступ к заповеднику!"
